candidate_id,ticker,trade_count,trade_share,avg_realized_return,avg_realized_excess_return,median_realized_return,realized_win_rate,worst_realized_return,best_realized_return,stop_hit_rate,target_1_hit_rate,target_2_hit_rate,time_exit_rate,avg_holding_days,total_contribution_to_realized_return,total_contribution_to_realized_excess_return
1,ACHR,7,0.1794871794871795,-0.020590184172481645,-0.02356539293693746,-0.09783835613577896,0.2857142857142857,-0.1544738899057455,0.2508177146535788,0.7142857142857143,0.2857142857142857,0.0,0.0,2.2857142857142856,-0.1441312892073715,-0.1649577505585622
1,RKLB,5,0.1282051282051282,-0.10351062637923567,-0.10309176575617444,-0.10224399599894851,0.0,-0.1260153176833173,-0.08347805814017761,1.0,0.0,0.0,0.0,3.6,-0.5175531318961784,-0.5154588287808722
1,F,4,0.10256410256410256,-0.005573987414462855,-0.007954293053845235,-0.03008442702423547,0.25,-0.04736025815864664,0.08523316254926616,0.75,0.25,0.0,0.0,2.0,-0.02229594965785142,-0.03181717221538094
1,PATH,4,0.10256410256410256,-0.0762077631748552,-0.06510365529895693,-0.07243948257793958,0.0,-0.08984315474409266,-0.07010893279944896,1.0,0.0,0.0,0.0,4.25,-0.3048310526994208,-0.2604146211958277
1,RIVN,4,0.10256410256410256,-0.0793280921914235,-0.05969006488979922,-0.07854462429627462,0.0,-0.08718515904138013,-0.07303796113176464,1.0,0.0,0.0,0.0,2.5,-0.317312368765694,-0.23876025955919689
1,BBAI,3,0.07692307692307693,-0.02721018224310867,-0.027936869340179842,-0.1660145217699841,0.3333333333333333,-0.18917412554063606,0.27355810058129415,0.6666666666666666,0.3333333333333333,0.0,0.0,4.0,-0.08163054672932601,-0.08381060802053952
1,IREN,2,0.05128205128205128,0.038762174779204794,0.02952685034822039,0.038762174779204794,0.5,-0.14295315468564784,0.22047750424405743,0.5,0.5,0.0,0.0,8.5,0.07752434955840959,0.05905370069644078
1,JOBY,2,0.05128205128205128,0.18234479223490185,0.17543784732805334,0.18234479223490185,1.0,0.1783947777826258,0.1862948066871779,0.0,1.0,0.0,0.0,12.5,0.3646895844698037,0.3508756946561067
1,NVAX,2,0.05128205128205128,-0.12818870511981711,-0.14026350682489913,-0.12818870511981711,0.0,-0.13844028760567428,-0.11793712263395995,1.0,0.0,0.0,0.0,1.5,-0.25637741023963423,-0.28052701364979826
1,SMR,2,0.05128205128205128,0.07548732830476818,0.06953612934155518,0.07548732830476818,0.5,-0.12534112869295233,0.2763157853024887,0.5,0.5,0.0,0.0,10.0,0.15097465660953635,0.13907225868311035
1,CORZ,1,0.02564102564102564,0.20596276614633546,0.19863387892562034,0.20596276614633546,1.0,0.20596276614633546,0.20596276614633546,0.0,1.0,0.0,0.0,2.0,0.20596276614633546,0.19863387892562034
1,NIO,1,0.02564102564102564,-0.10791923539646486,-0.10751804688214395,-0.10791923539646486,0.0,-0.10791923539646486,-0.10791923539646486,1.0,0.0,0.0,0.0,6.0,-0.10791923539646486,-0.10751804688214395
1,OKLO,1,0.02564102564102564,0.29689136545041594,0.3020638560256925,0.29689136545041594,1.0,0.29689136545041594,0.29689136545041594,0.0,1.0,0.0,0.0,6.0,0.29689136545041594,0.3020638560256925
1,SOFI,1,0.02564102564102564,-0.0569438580254954,-0.06137648101904547,-0.0569438580254954,0.0,-0.0569438580254954,-0.0569438580254954,1.0,0.0,0.0,0.0,2.0,-0.0569438580254954,-0.06137648101904547
2,ACHR,6,0.18181818181818182,0.0017237667830623342,-0.005345385510522586,-0.09231454210727186,0.3333333333333333,-0.12245687804554872,0.2508177146535788,0.6666666666666666,0.3333333333333333,0.0,0.0,2.0,0.010342600698374005,-0.032072313063135516
2,RKLB,5,0.15151515151515152,-0.10351062637923567,-0.10309176575617444,-0.10224399599894851,0.0,-0.1260153176833173,-0.08347805814017761,1.0,0.0,0.0,0.0,3.6,-0.5175531318961784,-0.5154588287808722
2,PATH,4,0.12121212121212122,-0.0762077631748552,-0.06510365529895693,-0.07243948257793958,0.0,-0.08984315474409266,-0.07010893279944896,1.0,0.0,0.0,0.0,4.25,-0.3048310526994208,-0.2604146211958277
2,F,3,0.09090909090909091,0.00403794079267646,-0.004817595888491251,-0.02575908201259014,0.3333333333333333,-0.04736025815864664,0.08523316254926616,0.6666666666666666,0.3333333333333333,0.0,0.0,2.0,0.012113822378029382,-0.014452787665473754
2,BBAI,2,0.06060606060606061,0.053771789405655024,0.04821501066626532,0.053771789405655024,0.5,-0.1660145217699841,0.27355810058129415,0.5,0.5,0.0,0.0,5.0,0.10754357881131005,0.09643002133253065
2,IREN,2,0.06060606060606061,0.038762174779204794,0.02952685034822039,0.038762174779204794,0.5,-0.14295315468564784,0.22047750424405743,0.5,0.5,0.0,0.0,8.5,0.07752434955840959,0.05905370069644078
2,JOBY,2,0.06060606060606061,0.18234479223490185,0.17543784732805334,0.18234479223490185,1.0,0.1783947777826258,0.1862948066871779,0.0,1.0,0.0,0.0,12.5,0.3646895844698037,0.3508756946561067
2,NVAX,2,0.06060606060606061,-0.12818870511981711,-0.14026350682489913,-0.12818870511981711,0.0,-0.13844028760567428,-0.11793712263395995,1.0,0.0,0.0,0.0,1.5,-0.25637741023963423,-0.28052701364979826
2,RIVN,2,0.06060606060606061,-0.08011156008657239,-0.06279407492608535,-0.08011156008657239,0.0,-0.08718515904138013,-0.07303796113176464,1.0,0.0,0.0,0.0,3.0,-0.16022312017314477,-0.1255881498521707
2,SMR,2,0.06060606060606061,0.07548732830476818,0.06953612934155518,0.07548732830476818,0.5,-0.12534112869295233,0.2763157853024887,0.5,0.5,0.0,0.0,10.0,0.15097465660953635,0.13907225868311035
2,CORZ,1,0.030303030303030304,0.20596276614633546,0.19863387892562034,0.20596276614633546,1.0,0.20596276614633546,0.20596276614633546,0.0,1.0,0.0,0.0,2.0,0.20596276614633546,0.19863387892562034
2,OKLO,1,0.030303030303030304,0.29689136545041594,0.3020638560256925,0.29689136545041594,1.0,0.29689136545041594,0.29689136545041594,0.0,1.0,0.0,0.0,6.0,0.29689136545041594,0.3020638560256925
