factor,quantile,horizon_days,observations,avg_forward_return,median_forward_return,win_rate,max_drawdown,avg_excess_return
dollar_volume,3,5,12294,0.007162750068757029,0.00470853858142628,0.5380673499267935,-0.9975810173547347,0.0033679537695251974
dollar_volume,4,5,11760,0.007611595834209849,0.00529124211718468,0.5406462585034013,-0.9996542667443923,0.003799603759813596
dollar_volume,5,5,12306,0.008715929325302494,0.0041925109547105155,0.529985372988786,-0.9999823342901724,0.00490815063089846
dollar_volume,1,10,12246,0.02130011999922182,0.0046802857479528726,0.5142087212150906,-1.0,0.013633760421796627
dollar_volume,2,10,11666,0.016328356892591968,0.008688086401851591,0.5389165095148294,-0.999999999943961,0.008625611279276054
dollar_volume,3,10,12194,0.012338371354162648,0.007240996878334793,0.5401016893554207,-0.999990036872128,0.004661165593807284
dollar_volume,4,10,11665,0.015618912586274443,0.009474919563875472,0.5495070724389198,-0.9999372065141496,0.007915419963274934
dollar_volume,5,10,12206,0.018424741070373025,0.009661277758279962,0.5428477797804359,-0.9999999978793481,0.010726977288746276
dollar_volume,1,20,12046,0.047841847584360754,0.01160969617662011,0.5286402125186784,-1.0,0.0325442033074424
dollar_volume,2,20,11476,0.03275704176725932,0.017873244703637714,0.5529801324503312,-1.0,0.017394004629904522
dollar_volume,3,20,11994,0.026328690590685277,0.012291705115651919,0.543605135901284,-0.9999999978126137,0.011019723640813583
dollar_volume,4,20,11475,0.031311919458822925,0.01719648573414534,0.5569498910675381,-0.9999999875352317,0.01594576021168019
dollar_volume,5,20,12006,0.035893324233128354,0.017304447211752172,0.555055805430618,-0.9999999999999999,0.020546709155180653
gap_pct,1,5,12346,0.008937233950707515,0.0047200001494900334,0.5307791997408068,-0.9999063816362044,0.0051446849368441995
gap_pct,2,5,11761,0.008757673965983204,0.004932448265360989,0.5364339767026614,-0.9929295346649798,0.004946393232124741
gap_pct,3,5,12293,0.007077258636469847,0.004667856499598777,0.5333116407711705,-0.9998314668905058,0.0032817831799704816
