sample_id,period,policy,trade_count,win_count,loss_count,total_pnl_dollars,average_pnl_dollars,max_drawdown_contribution,tickers_in_period,worst_ticker,worst_trade_pnl_dollars,average_entry_gap_pct,average_forward_return_20d,themes_in_period
0,2024-01,baseline_current,3,1,2,-2.545541716984303,-0.8485139056614344,-8.282342733110681,SMCI,SMCI,-8.282342733110681,0.06310387260730559,0.8844158145187698,semiconductor / hardware
0,2024-02,baseline_current,2,2,0,26.040973365783714,13.020486682891857,12.698516381399997,"HOOD, PLTR",HOOD,12.698516381399997,-0.0054254841175837565,0.27259370062276445,"AI / software, crypto-adjacent / high beta"
0,2024-03,baseline_current,1,1,0,9.230617177145831,9.230617177145831,9.230617177145831,HPE,HPE,9.230617177145831,0.013812154405032029,0.004972384016081577,semiconductor / hardware
0,2024-04,baseline_current,2,1,1,3.9478345399584214,1.9739172699792107,-6.339645986557002,"CCJ, F",F,-6.339645986557002,-0.015976845774337667,-0.00710339085914935,"EV / mobility, space / defense / nuclear"
0,2024-05,baseline_current,2,1,1,10.49680465126039,5.248402325630195,-15.937573979241492,"IREN, NVAX",NVAX,-15.937573979241492,0.002952157907655295,0.5772516982348673,", crypto-adjacent / high beta"
0,2024-06,baseline_current,1,0,1,-7.997460057939776,-7.997460057939776,-7.997460057939776,HPE,HPE,-7.997460057939776,0.037545773310219355,-0.05357143169045753,semiconductor / hardware
0,2024-07,baseline_current,1,0,1,-6.84714676775252,-6.84714676775252,-6.84714676775252,PLTR,PLTR,-6.84714676775252,0.008303232343013223,-0.13032492819211305,AI / software
0,2024-08,baseline_current,1,1,0,17.399116645812995,17.399116645812995,17.399116645812995,PLTR,PLTR,17.399116645812995,0.006997636883406377,0.15294895735528224,AI / software
0,2024-10,baseline_current,1,1,0,40.11991197967532,40.11991197967532,40.11991197967532,OKLO,OKLO,40.11991197967532,0.06253435686357811,-0.012616541306183393,space / defense / nuclear
0,2024-11,baseline_current,2,1,1,5.569163788114338,2.784581894057169,-17.75283529635834,"AI, RKLB",RKLB,-17.75283529635834,0.008930009340172074,0.1188663497816913,"AI / software, space / defense / nuclear"
0,2025-01,baseline_current,1,1,0,44.193222672598665,44.193222672598665,44.193222672598665,HOOD,HOOD,44.193222672598665,0.03696778240682286,0.25524396077588163,crypto-adjacent / high beta
0,2025-03,baseline_current,1,0,1,-15.801786218643173,-15.801786218643173,-15.801786218643173,KTOS,KTOS,-15.801786218643173,0.005193114254642417,0.03602728431003599,space / defense / nuclear
0,2025-05,baseline_current,1,1,0,41.26849895749777,41.26849895749777,41.26849895749777,ACHR,ACHR,41.26849895749777,-0.007616490977523038,0.09050181386122902,EV / mobility
0,2025-06,baseline_current,2,0,2,-45.443426898411275,-22.721713449205637,-24.845130641392274,"CORZ, RKLB",RKLB,-24.845130641392274,0.007828211998629264,0.07301918233938104,"crypto-adjacent / high beta, space / defense / nuclear"
0,2025-07,baseline_current,1,1,0,38.235670227323254,38.235670227323254,38.235670227323254,JOBY,JOBY,38.235670227323254,0.015309246856583192,0.0894060623785935,EV / mobility
0,2025-08,baseline_current,1,0,1,-18.613287100110682,-18.613287100110682,-18.613287100110682,INTC,INTC,-18.613287100110682,-0.016199125091401645,-0.016199125091401645,semiconductor / hardware
0,2025-09,baseline_current,2,0,2,-37.244120347431675,-18.622060173715838,-21.219222138813535,"BBAI, RIVN",BBAI,-21.219222138813535,0.0040085719491737,-0.07665062302049186,"AI / software, EV / mobility"
0,2025-10,baseline_current,2,0,2,-33.36996111760817,-16.684980558804085,-19.08302080590383,"PATH, SOFI",PATH,-19.08302080590383,0.005312106242741088,-0.13323515493190152,", AI / software"
0,2025-11,baseline_current,1,1,0,24.31106910841808,24.31106910841808,24.31106910841808,RIVN,RIVN,24.31106910841808,-0.010376124942962028,0.171206185252039,EV / mobility
0,2025-12,baseline_current,1,0,1,-11.822133191789902,-11.822133191789902,-11.822133191789902,INTC,INTC,-11.822133191789902,-0.0018403917370166667,-0.15113870509152816,semiconductor / hardware
0,2026-01,baseline_current,2,0,2,-17.15464484296521,-8.577322421482606,-12.546730797903876,"CORZ, F",CORZ,-12.546730797903876,0.00026993142119852154,-0.06747324783182568,"EV / mobility, crypto-adjacent / high beta"
0,2026-02,baseline_current,1,0,1,-7.926689657211284,-7.926689657211284,-7.926689657211284,HPE,HPE,-7.926689657211284,-0.013769350171074612,-0.07616181046453219,semiconductor / hardware
0,2026-03,baseline_current,1,0,1,-12.54532046985625,-12.54532046985625,-12.54532046985625,RIVN,RIVN,-12.54532046985625,-0.009925607491099497,0.06885847675028511,EV / mobility
0,2026-05,baseline_current,1,1,0,36.110466296604756,36.110466296604756,36.110466296604756,HPE,HPE,36.110466296604756,0.026486974103133942,0.03183082952469274,semiconductor / hardware
0,2024-01,atr_stop_2_0x,2,1,1,14.979479103088423,7.489739551544211,-6.772111530848889,SMCI,SMCI,-6.772111530848889,0.04255464320686131,0.9680787447231345,semiconductor / hardware
0,2024-02,atr_stop_2_0x,1,1,0,22.273428307942012,22.273428307942012,22.273428307942012,PLTR,PLTR,22.273428307942012,-0.012345699469718752,0.19615906920692594,AI / software
0,2024-04,atr_stop_2_0x,1,1,0,6.227479698181156,6.227479698181156,6.227479698181156,CCJ,CCJ,6.227479698181156,-0.01048131932549301,0.057112260298295414,space / defense / nuclear
0,2024-05,atr_stop_2_0x,1,1,0,42.00886395863125,42.00886395863125,42.00886395863125,NVAX,NVAX,42.00886395863125,0.022120516357551745,0.2761250938489024,
0,2024-06,atr_stop_2_0x,1,0,1,-14.157280103410983,-14.157280103410983,-14.157280103410983,HPE,HPE,-14.157280103410983,0.037545773310219355,-0.05357143169045753,semiconductor / hardware
0,2024-07,atr_stop_2_0x,1,0,1,-13.63843353489466,-13.63843353489466,-13.63843353489466,PLTR,PLTR,-13.63843353489466,0.008303232343013223,-0.13032492819211305,AI / software
0,2024-08,atr_stop_2_0x,1,1,0,21.74889580726625,21.74889580726625,21.74889580726625,PLTR,PLTR,21.74889580726625,0.006997636883406377,0.15294895735528224,AI / software
0,2024-10,atr_stop_2_0x,1,1,0,68.83510196767537,68.83510196767537,68.83510196767537,OKLO,OKLO,68.83510196767537,0.06253435686357811,-0.012616541306183393,space / defense / nuclear
0,2024-11,atr_stop_2_0x,2,1,1,15.230122087751141,7.615061043875571,-31.482876081194178,"AI, RKLB",RKLB,-31.482876081194178,0.008930009340172074,0.1188663497816913,"AI / software, space / defense / nuclear"
0,2025-01,atr_stop_2_0x,1,1,0,49.02036408015664,49.02036408015664,49.02036408015664,HOOD,HOOD,49.02036408015664,0.03696778240682286,0.25524396077588163,crypto-adjacent / high beta
0,2025-03,atr_stop_2_0x,1,0,1,-29.995407085418663,-29.995407085418663,-29.995407085418663,KTOS,KTOS,-29.995407085418663,0.005193114254642417,0.03602728431003599,space / defense / nuclear
0,2025-05,atr_stop_2_0x,1,1,0,68.87312326090677,68.87312326090677,68.87312326090677,ACHR,ACHR,68.87312326090677,-0.007616490977523038,0.09050181386122902,EV / mobility
0,2025-06,atr_stop_2_0x,2,0,2,-80.65064785112645,-40.325323925563225,-45.44098284367152,"CORZ, RKLB",RKLB,-45.44098284367152,0.007828211998629264,0.07301918233938104,"crypto-adjacent / high beta, space / defense / nuclear"
0,2025-07,atr_stop_2_0x,1,1,0,62.83414191109796,62.83414191109796,62.83414191109796,JOBY,JOBY,62.83414191109796,0.015309246856583192,0.0894060623785935,EV / mobility
0,2025-08,atr_stop_2_0x,1,0,1,-0.32369999504084035,-0.32369999504084035,-0.32369999504084035,INTC,INTC,-0.32369999504084035,-0.016199125091401645,-0.016199125091401645,semiconductor / hardware
0,2025-09,atr_stop_2_0x,1,0,1,-42.85249568898331,-42.85249568898331,-42.85249568898331,BBAI,BBAI,-42.85249568898331,0.006257846328807437,-0.11389234962202743,AI / software
0,2025-10,atr_stop_2_0x,2,0,2,-67.3119408939906,-33.6559704469953,-36.917121564592605,"PATH, SOFI",PATH,-36.917121564592605,0.005312106242741088,-0.13323515493190152,", AI / software"
0,2025-12,atr_stop_2_0x,1,0,1,-19.631238654000413,-19.631238654000413,-19.631238654000413,INTC,INTC,-19.631238654000413,-0.0018403917370166667,-0.15113870509152816,semiconductor / hardware
0,2026-01,atr_stop_2_0x,2,0,2,-25.8609358193533,-12.93046790967665,-18.760036195482485,"CORZ, F",CORZ,-18.760036195482485,0.00026993142119852154,-0.06747324783182568,"EV / mobility, crypto-adjacent / high beta"
0,2026-02,atr_stop_2_0x,1,0,1,-10.515439542770366,-10.515439542770366,-10.515439542770366,HPE,HPE,-10.515439542770366,-0.013769350171074612,-0.07616181046453219,semiconductor / hardware
