env_var_name,vendor,present,value_redacted,format_hint_status,selected_for_live_smoke,selection_reason
TIINGO_API_TOKEN,tiingo_eod,False,False,MISSING,False,missing or suspicious
POLYGON_API_KEY,polygon_aggs,False,False,MISSING,False,missing or suspicious
MASSIVE_API_KEY,polygon_aggs,False,False,MISSING,False,missing or suspicious
ALPHAVANTAGE_API_KEY,alpha_vantage_daily_adjusted,False,False,MISSING,False,missing or suspicious
