signal_date,ticker,entry_date,entry_price,adjusted_entry_price,shares,cash_before,cash_after_entry,partial_exit_date,partial_exit_price,partial_exit_shares,exit_date,exit_price,exit_reason,cash_after_exit,pnl_dollars,trade_return_pct,account_return_pct,selection_score,relative_volume_prev20,return_5d,return_20d,green_days_5,max_daily_gain_5,atr_pct,distance_to_52w_high_prev,event_filter_status,status
2024-01-16,CCJ,2024-01-17,48.04999923706055,48.098049236297605,2,100.0,3.80390152740479,,,0,2024-02-12,43.28824431266784,STOP,90.38039015274047,-9.619609847259525,-0.10000000000000005,-0.09619609847259525,1.0,1.5664385194992865,0.146335755887951,0.05951092954953219,3.0,0.0698670881310346,0.03186274035114316,-0.04412342995644003,UNKNOWN,EXECUTED
2024-02-13,HOOD,2024-02-14,13.64799976348877,13.661647763252256,6,90.38039015274047,8.410503573226933,2024-02-27,15.710894927740094,1,2024-03-13,17.15999984741211,TIME_EXIT,109.92139773802757,19.54100758528709,0.23839251706578435,0.21620848894614533,0.75,4.37506887159,0.09833028254858234,0.08325707429131435,5.0,0.039826842471913926,0.03431468122216676,-0.12361214270920584,UNKNOWN,EXECUTED
2024-03-15,GM,2024-03-18,40.88999938964844,40.93088938903808,2,109.92139773802757,28.059618959951408,,,0,2024-04-15,42.689998626708984,TIME_EXIT,113.43961621336938,3.5182184753418113,0.04297754737139971,0.03200667520373675,0.9166666666666666,5.368887504784891,0.030126547511619917,0.04360084316644319,3.0,0.03326555416613264,0.024172314929084702,-0.02655503900984324,UNKNOWN,EXECUTED
2024-04-26,SOFI,2024-04-29,7.369999885559082,7.37736988544464,15,113.43961621336938,2.779067931699771,,,0,2024-04-30,6.639632896900176,STOP,102.37356138520241,-11.066054828166969,-0.10000000000000007,-0.09755017865498371,0.8333333333333334,2.298394228121157,0.1068916649469902,0.07808214793578516,4.0,0.04551723085600745,0.036485750947386035,-0.3273504261660849,UNKNOWN,EXECUTED
2024-05-07,AFRM,2024-05-08,35.5,35.5355,2,102.37356138520241,31.30256138520241,,,0,2024-05-08,31.98195,STOP,95.2664613852024,-7.107100000000003,-0.10000000000000003,-0.06942319778500251,1.0,1.6571342073317326,0.09473031507569485,-0.013288024320016967,3.0,0.07222913362307781,0.056170692595655755,-0.33498472122144163,UNKNOWN,EXECUTED
2024-05-28,HPE,2024-05-29,18.239999771118164,18.25823977088928,5,95.2664613852024,3.9752625307560123,2024-06-12,20.996975736522668,1,2024-06-26,20.920000076293945,TIME_EXIT,108.65223857245446,13.38577718725206,0.1466272472617452,0.14050881068341278,1.0,1.7855572423700385,0.03426969867962182,0.07159484984792286,3.0,0.020809837885027216,0.021455763024266678,-0.08271050685866232,UNKNOWN,EXECUTED
2024-07-08,INTC,2024-07-09,35.02000045776367,35.055020458221435,3,108.65223857245446,3.48717719779016,,,0,2024-07-25,31.54951841239929,STOP,98.13573243498803,-10.516506137466436,-0.10000000000000005,-0.09679051509328573,1.0,2.1703426831195904,0.09751380148755961,0.11735705434645682,4.0,0.06152408471391735,0.02294791286303894,-0.33716843822957576,UNKNOWN,EXECUTED
2024-08-20,RBLX,2024-08-21,40.68000030517578,40.720680305480954,2,98.13573243498803,16.69437182402612,2024-09-16,46.82878235130309,1,2024-09-18,45.279998779296875,TIME_EXIT,108.80315295462609,10.667420519638057,0.13098283770816857,0.10870067665419324,1.0,1.7945857963997431,0.04619357201360885,-0.013145104465870028,5.0,0.036070602248865935,0.044039387118045344,-0.14110168940169632,UNKNOWN,EXECUTED
2024-09-19,KTOS,2024-09-20,22.760000228881836,22.782760229110714,4,108.80315295462609,17.67211203818323,,,0,2024-10-17,25.219999313354492,TIME_EXIT,118.5521092916012,9.748956336975112,0.1069773398716452,0.0896017814947026,0.8333333333333334,1.7330073570004167,0.03730662929489714,0.08830541320999563,3.0,0.043691463615815884,0.035463659378499275,-0.049207686726491784,UNKNOWN,EXECUTED
2024-10-22,CORZ,2024-10-23,13.460000038146973,13.473460038185118,8,118.5521092916012,10.764428986120251,2024-11-07,15.494479043912884,1,2024-11-11,17.515498049640655,TARGET_30,148.8673943775177,30.315285085916514,0.28125,0.25571274325748494,1.0,3.0818014286653606,0.05782575054424499,0.06439099314190555,3.0,0.06936869435815796,0.05363389677007972,0.008823520749498215,UNKNOWN,EXECUTED
