sample_id,replay_date,ticker,theme,subtheme,reference_price,entry_price,entry_gap_pct,shares_with_100,estimated_total_cost,decision_strength,smoke_score,volatility_20d,atr_pct,distance_from_52w_high,relative_volume_prev20,pre_entry_return_5d,pre_entry_return_10d,market_regime_label,spy_trend_label,qqq_trend_label,market_volatility_label,simulated_exit_reason,simulated_pnl_dollars,simulated_return_pct,forward_return_20d,stopped_out_but_20d_positive,running_equity_before_trade,running_equity_after_trade,drawdown_after_trade,drawdown_contribution_dollars,is_worst_drawdown_trade_for_sample
0,2024-01-10,SMCI,AI infrastructure,servers,34.237998962402344,34.48400115966797,0.007185063517753054,2,68.54447392272948,0.7915755483931489,0.9631578947368421,,0.04894520512056265,-0.04095243051240571,1.7083904618541281,0.21999714822010463,,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,VOL_UNKNOWN,STOP,-5.096325648716501,-0.07289405923517234,1.0386706340054235,True,100.0,94.9036743512835,-0.05096325648716504,-5.096325648716501,False
0,2024-01-19,SMCI,AI infrastructure,servers,42.33599853515625,45.6349983215332,0.07792422289596956,2,84.7566690673828,0.7894736842105265,1.0,,0.06449257542739255,0.18260283214021267,7.058157076632728,0.2331710976829584,0.46592796971648065,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,VOL_UNKNOWN,STOP,-8.282342733110681,-0.08974551372562023,0.8974868554408455,True,94.9036743512835,86.62133161817282,-0.13378668381827186,-8.282342733110681,False
0,2024-01-29,SMCI,AI infrastructure,servers,49.56700134277344,54.731998443603516,0.10420233140819413,1,49.6165683441162,0.6567767901825028,0.9405405405405405,,0.0732198059753038,-0.002234390633650718,1.8731532738046868,0.13623236563869323,0.4597420035271007,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,VOL_UNKNOWN,TARGET_1,10.83312666484288,0.1989304058485175,0.7170899541100404,False,86.62133161817282,97.4544582830157,-0.02545541716984301,0.0,False
0,2024-02-06,PLTR,AI / software,analytics / defense AI,21.8700008392334,21.600000381469727,-0.012345699469718752,4,87.56748336029052,0.9122807017543858,1.0,0.07325912372860216,0.05116924428667251,0.0009153527420819874,8.759267361940353,0.30645168089943,0.2619735104162917,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,LOW_VOL,TARGET_1,13.342456984383716,0.15542658274013244,0.19615906920692594,False,97.4544582830157,110.79691526739941,0.1079691526739941,0.0,False
0,2024-02-14,HOOD,fintech,brokerage,13.380000114440918,13.399999618530273,0.0014947312345512387,8,107.14704091644286,0.8648148148148147,0.9555555555555555,0.03549347096974912,0.039878289327414114,-0.009622510158290187,7.821166090282683,0.2163636467673562,0.24581009307115642,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,LOW_VOL,TARGET_1,12.698516381399997,0.11945631290018621,0.34902833203860295,False,110.79691526739941,123.49543164879941,0.1146107393942617,0.0,False
0,2024-03-05,HPE,AI infrastructure,servers / networking,18.100000381469727,18.350000381469727,0.013812154405032029,6,108.70860229110716,0.7866666666666666,0.9028571428571428,0.027876092012242296,0.02867009509690829,-0.0019299612335470506,3.3737145651729548,0.21558092438771892,0.20586276518785107,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,LOW_VOL,TARGET_1,9.230617177145831,0.08483848306316766,0.004972384016081577,False,123.49543164879941,132.72604882594524,0.07474460434614438,0.0,False
0,2024-04-01,CCJ,space / defense / nuclear,uranium,46.75,46.2599983215332,-0.01048131932549301,2,93.59349999999999,0.5521349092775162,0.8971428571428571,0.033897916025780434,0.037005349458675514,-0.08922660564340334,1.7634998977833591,0.08242652203025269,0.13719288022166265,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,TARGET_1,10.287480526515424,0.11219196822070332,0.057112260298295414,False,132.72604882594524,143.01352935246067,0.07750912965100198,0.0,False
0,2024-04-25,F,EV / mobility,auto OEM,13.039999961853027,12.760000228881836,-0.021472372223182323,10,130.53039961814878,0.55491220056375,0.9111111111111111,0.022423238227483384,0.02881244656151042,-0.1543450131430174,1.6775431384070865,0.08126032405788886,0.0,RISK_OFF,SPY_BELOW_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,STOP,-6.339645986557002,-0.044167040986320405,-0.07131904201659411,False,143.01352935246067,136.67388336590366,-0.04432899471303009,-6.339645986557002,False
0,2024-05-13,NVAX,biotech,vaccines,13.109999656677246,13.399999618530273,0.022120516357551745,10,131.2310965633392,1.0,1.0,0.24067685385671989,0.08036396845623132,0.19181815060702245,10.10437115306501,1.7542014761114615,2.0559440030891047,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,STOP,-15.937573979241492,-0.11793712263395995,0.2761250938489024,True,136.67388336590366,120.73630938666217,-0.1557700174708344,-15.937573979241492,False
0,2024-05-21,IREN,crypto-adjacent / high beta,bitcoin mining / AI compute,7.400000095367432,7.28000020980835,-0.016216200542241155,16,118.51840152740478,0.6002976959774133,0.862857142857143,0.06704980718780656,0.07474903798334706,-0.23632606647907461,2.814107835225291,0.5195072421480975,0.4595660443424683,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,TARGET_1,26.434378630501882,0.2279434913175451,0.8783783026208323,False,120.73630938666217,147.17068801716405,0.029068289437553574,0.0,False
0,2024-06-18,HPE,AI infrastructure,servers / networking,21.84000015258789,22.65999984741211,0.037545773310219355,6,131.17104091644285,0.5363202020076586,0.9257142857142858,0.02942522733426385,0.03999542126541502,-0.005464432463005653,1.878310389497497,0.062256844352833074,0.24090907268287753,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,STOP,-7.997460057939776,-0.05782215439683058,-0.05357143169045753,False,147.17068801716405,139.17322795922428,-0.05434139206447863,-7.997460057939776,False
