candidate_id,signal_date,entry_date,exit_date,ticker,entry_price,adjusted_entry_price,shares,total_cost,cash_before,cash_after_entry,exit_price,exit_reason,cash_after_exit,trade_return_pct,account_return_pct,dollar_pnl,stop_loss,target_1,target_2,dollar_risk,affordability_status,max_entry_price
1,2024-05-13,2024-05-14,2024-05-15,NVAX,13.399999618530273,13.413399618148802,7,93.89379732704161,100.0,6.106202672958389,11.819642220224653,STOP,88.84369821453096,-0.11881830432963014,-0.1115630178546904,-11.15630178546904,11.819642220224653,16.560714415141515,19.721429211752756,11.156301785469042,EXECUTED,20.0
1,2024-05-14,2024-05-15,2024-05-15,NVAX,13.180000305175781,,0,,88.84369821453096,88.84369821453096,11.35535727228437,STOP,88.84369821453096,,0.0,0.0,11.35535727228437,16.829286370958602,20.478572436741423,0.0,SKIPPED_POSITION_OPEN,20.0
1,2024-06-04,2024-06-05,2024-06-06,CORZ,6.900000095367432,6.906900095462798,12,82.88280114555357,88.84369821453096,5.960897068977388,8.321143201419286,TARGET_1,105.81461548600882,0.20475800813819744,0.19101993289944064,16.97091727147786,6.1894285423415045,8.321143201419286,9.74228630747114,8.60965863745552,EXECUTED,20.0
1,2024-07-12,2024-07-15,2024-07-17,SMR,16.75,16.76675,6,100.60049999999998,105.81461548600882,5.214115486008836,14.650536094393049,STOP,93.11733205236713,-0.12621491377917304,-0.11999555425611849,-12.697283433641687,14.650536094393049,20.948927811213903,25.147855622427805,12.697283433641697,EXECUTED,20.0
1,2024-07-17,2024-07-18,2024-07-19,F,14.510000228881836,14.524510229110716,6,87.14706137466429,93.11733205236713,5.9702706777028425,14.010714428765434,STOP,90.03455725029545,-0.03537439763824235,-0.03310634802485533,-3.0827748020716825,14.010714428765434,15.50857182911464,16.507143429347444,3.0827748020716896,EXECUTED,20.0
1,2024-08-16,2024-08-19,2024-08-28,RKLB,6.78000020980835,6.786780210018157,13,88.22814273023604,90.03455725029545,1.8064145200594055,6.0867858954838345,STOP,80.93463116134926,-0.10314085514380456,-0.10107148151624114,-9.09992608894619,6.0867858954838345,8.16642883845738,9.55285746710641,9.09992608894619,EXECUTED,20.0
1,2024-08-19,2024-08-20,2024-08-21,RKLB,7.25,,0,,80.93463116134926,80.93463116134926,6.486607091767447,STOP,80.93463116134926,,0.0,0.0,6.486607091767447,8.776785816465106,10.303571632930211,0.0,SKIPPED_POSITION_OPEN,20.0
1,2024-08-21,2024-08-22,2024-08-27,RKLB,7.0,,0,,80.93463116134926,80.93463116134926,6.117892776216779,STOP,80.93463116134926,,0.0,0.0,6.117892776216779,8.764214447566442,10.528428895132883,0.0,SKIPPED_POSITION_OPEN,20.0
1,2024-09-27,2024-09-30,2024-10-02,RKLB,9.869999885559082,9.87986988544464,8,79.03895908355712,80.93463116134926,1.8956720777921419,9.046071461268834,STOP,74.26424376794282,-0.08439366447570185,-0.0824169740158391,-6.670387393406443,9.046071461268834,11.517856734139578,13.165713582720073,6.670387393406443,EXECUTED,20.0
1,2024-09-30,2024-10-01,2024-10-08,NIO,6.900000095367432,,0,,74.26424376794282,74.26424376794282,6.155357360839844,STOP,74.26424376794282,,0.0,0.0,6.155357360839844,8.389285564422607,9.878571033477783,0.0,SKIPPED_POSITION_OPEN,20.0
1,2024-10-15,2024-10-16,2024-10-17,SOFI,10.229999542236328,10.240229541778563,7,71.68160679244994,74.26424376794282,2.582636975492875,9.64746390070234,STOP,70.11488428040926,-0.057885972053441814,-0.05587291106739428,-4.149359487533559,9.64746390070234,11.395070825304305,12.560142108372283,4.149359487533562,EXECUTED,20.0
1,2024-10-16,2024-10-17,2024-11-08,SMR,18.049999237060547,,0,,70.11488428040926,70.11488428040926,23.037498950958252,TARGET_1,70.11488428040926,,0.0,0.0,15.556249380111694,23.037498950958252,28.024998664855957,0.0,SKIPPED_POSITION_OPEN,20.0
1,2024-10-18,2024-10-21,2024-10-28,OKLO,19.3700008392334,19.38937084007263,3,58.16811252021789,70.11488428040926,11.946771760191368,25.120786837169106,TARGET_1,87.30913227169869,0.2955957696807354,0.2452296422899989,17.19424799128943,16.494607840265544,25.120786837169106,30.871572835104814,8.684288999421256,EXECUTED,20.0
1,2024-11-13,2024-11-14,2024-11-14,RKLB,19.43000030517578,19.449430305480956,4,77.79772122192382,87.30913227169869,9.511411049774864,17.476893050330027,STOP,79.41898325109497,-0.10141876775666059,-0.09037026042190219,-7.890149020603715,17.476893050330027,23.33621481486729,27.2424293245588,7.890149020603715,EXECUTED,20.0
1,2024-11-25,2024-11-26,2024-11-29,ACHR,7.25,7.257249999999999,10,72.57249999999999,79.41898325109497,6.8464832510949805,9.068428431238447,TARGET_1,97.53076756347944,0.24956814650707204,0.22805359085398214,18.111784312384472,6.340785784380777,9.068428431238447,10.886856862476893,9.164642156192224,EXECUTED,20.0
1,2024-11-27,2024-11-29,2024-12-02,ACHR,8.8100004196167,,0,,97.53076756347944,97.53076756347944,7.746607644217355,STOP,97.53076756347944,,0.0,0.0,7.746607644217355,10.936785970415388,13.063571521214076,0.0,SKIPPED_POSITION_OPEN,20.0
1,2024-11-29,2024-12-02,2024-12-02,ACHR,9.6899995803833,9.699689579963684,10,96.99689579963683,97.53076756347944,0.5338717638426118,8.503392483506884,STOP,85.56779659891146,-0.12333354450104772,-0.12265843142044071,-11.962970964567987,8.503392483506884,12.063213774136134,14.436427967888967,11.962970964567994,EXECUTED,20.0
1,2024-12-26,2024-12-27,2025-01-02,ACHR,11.15999984741211,11.17115984725952,7,78.19811893081665,85.56779659891146,7.369677668094809,9.436071259634835,STOP,73.42217648553866,-0.15531857133441107,-0.14194148495261485,-12.1456201133728,9.436071259634835,14.607857022966659,18.05571419852121,12.145620113372802,EXECUTED,20.0
1,2024-12-30,2024-12-31,2025-01-02,BBAI,5.119999885559082,,0,,73.42217648553866,73.42217648553866,4.151428384440286,STOP,73.42217648553866,,0.0,0.0,4.151428384440286,7.057142887796674,8.994285890034266,0.0,SKIPPED_POSITION_OPEN,20.0
1,2025-02-05,2025-02-06,2025-02-10,BBAI,7.480000019073486,7.487480019092559,9,67.38732017183304,73.42217648553866,6.0348563137056175,9.526214616639272,TARGET_1,91.77078786345906,0.2722858147665277,0.2499055769823764,18.348611377920406,6.456892720290593,9.526214616639272,11.572429214205059,9.275285689217693,EXECUTED,20.0
1,2025-02-10,2025-02-11,2025-02-20,BBAI,8.470000267028809,8.478470267295837,10,84.78470267295836,91.77078786345906,6.986085190500702,7.063857223306384,STOP,77.62465742356454,-0.16684767409588808,-0.15414633315496654,-14.14613043989452,7.063857223306384,11.282286354473658,14.094572441918508,14.146130439894531,EXECUTED,20.0
1,2025-03-27,2025-03-28,2025-03-31,RIVN,12.994999885559082,13.00799488544464,5,65.0399744272232,77.62465742356454,12.584682996341343,12.028571162905012,STOP,72.7275388108664,-0.07529398121424236,-0.06308715265533033,-4.8971186126981365,12.028571162905012,14.927857330867223,16.860714776175364,4.897118612698144,EXECUTED,20.0
1,2025-04-01,2025-04-02,2025-04-03,RIVN,12.8100004196167,12.822810420036314,5,64.11405210018157,72.7275388108664,8.613486710684839,11.75035752568926,STOP,67.36527433913113,-0.08363633706003248,-0.07373086673096771,-5.362264471735273,11.75035752568926,14.929286207471577,17.048571995326455,5.362264471735267,EXECUTED,20.0
