ticker,normalized_ticker,source_watchlist,source_watchlist_line_number,symbol_master_status,primary_exchange,listing_exchange,asset_type,security_name,is_etf,is_adr,is_spac_or_former_spac_if_detectable,is_recent_ipo_or_recent_listing,first_trade_date_from_ohlcv,last_trade_date_from_ohlcv,has_sufficient_factor_lookback,has_sufficient_forward_window,normalized_symbol_notes,validation_sources_used
MARA,MARA,True,50,ACTIVE_LISTED_EQUITY,NCM,NASDAQ,EQUITY,"MARA Holdings, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
MDB,MDB,True,28,ACTIVE_LISTED_EQUITY,NGM,NASDAQ,EQUITY,"MongoDB, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
MIRM,MIRM,True,103,ACTIVE_LISTED_EQUITY,NGM,NASDAQ,EQUITY,"Mirum Pharmaceuticals, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
MRNA,MRNA,True,106,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Moderna, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
MRVL,MRVL,True,12,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Marvell Technology, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
MSFT,MSFT,True,2,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Microsoft Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
MSTR,MSTR,True,49,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Strategy Inc,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
MU,MU,True,11,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Micron Technology, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
NEE,NEE,True,77,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"NextEra Energy, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
NET,NET,True,23,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"Cloudflare, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
NIO,NIO,True,60,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,NIO Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
NNE,NNE,True,71,ACTIVE_LISTED_EQUITY,NCM,NASDAQ,EQUITY,Nano Nuclear Energy Inc.,False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
NOC,NOC,True,80,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Northrop Grumman Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
NOW,NOW,True,32,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"ServiceNow, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
NTLA,NTLA,True,100,ACTIVE_LISTED_EQUITY,NGM,NASDAQ,EQUITY,"Intellia Therapeutics, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
NVAX,NVAX,True,107,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Novavax, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
NVDA,NVDA,True,3,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,NVIDIA Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
OKLO,OKLO,True,69,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Oklo Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
OKTA,OKTA,True,27,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Okta, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
PANW,PANW,True,26,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Palo Alto Networks, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
PATH,PATH,True,91,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"UiPath, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
PLTR,PLTR,True,21,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Palantir Technologies Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
PWR,PWR,True,76,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"Quanta Services, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
PYPL,PYPL,True,46,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"PayPal Holdings, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
QCOM,QCOM,True,15,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,QUALCOMM Incorporated,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
QQQ,QQQ,False,,ETF_OR_INDEX_PROXY,,NASDAQ,EQUITY,"Invesco QQQ Trust, Series 1",True,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
RBLX,RBLX,True,39,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Roblox Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
RDDT,RDDT,True,112,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"Reddit, Inc.",False,False,False,True,2024-04-18,2026-06-29,False,True,,nasdaq_trader_other
