sample_id,replay_rounds,policy,buy_count,no_trade_count,executed_count,trade_simulation_accuracy,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_return_20d,median_return_20d,average_win,average_loss,profit_factor,ending_account_value,max_drawdown,worst_trade_account_loss,ending_value_excluding_best_trade,top_ticker_profit_share,top_ticker_loss_share,stop_count,target_1_count,target_2_count,time_exit_count,median_holding_days,average_entry_gap_pct,intraday_stop_breach_count,intraday_stop_breach_rate,passes_phase1c_policy_gate
0,100,baseline_current,34,66,34,0.4117647058823529,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,24.8418950955138,-13.408735015685199,1.296865554171819,179.61183102348932,-0.4586370161801102,-0.11661023735290654,135.41860835089065,0.1635823527589106,0.1588440889014534,20,11,2,1,4.0,0.0105450622580167,23,0.6764705882352942,False
0,100,atr_stop_2_0x,34,66,27,0.4444444444444444,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,40.59013950246858,-22.879500452068843,1.4192666343394147,243.8891672485903,-0.5244998497187515,-0.12931201169554252,175.01604398768353,0.14139953714768191,0.22414201185909194,14,8,1,4,8.0,0.010567714809764294,15,0.5555555555555556,False
0,100,atr_stop_2_5x,34,66,25,0.52,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,40.26841956983297,-27.412833757582145,1.5913758346338909,294.5354493168428,-0.36407734388598656,-0.16373565878891544,212.74344050162236,0.1729488535241589,0.17448218992525383,10,8,0,7,16.0,0.011442107927639208,10,0.4,False
0,100,time_exit_20d_no_intraday_stop,34,66,19,0.5789473684210527,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,32.600774876941365,-28.23331635200974,1.5877010301201655,232.74199283027713,-0.4535349726997495,-0.18790612137020252,162.17895704841675,0.300995458600774,0.3280914172168311,0,0,0,19,20.0,0.008529007254258255,0,0.0,False
0,100,close_based_stop_2_0x,34,66,26,0.5384615384615384,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,54.42839326354437,-31.533601240793825,2.013718371584356,483.5942908000953,-0.31458271510645097,-0.1372815852271367,355.08370841135365,0.1686496103060564,0.22872623027882574,11,9,1,5,8.0,0.013459188496848552,14,0.5384615384615384,True
0,100,close_based_stop_2_0x_with_intraday_breach_flag,34,66,26,0.5384615384615384,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,54.42839326354437,-31.533601240793825,2.013718371584356,483.5942908000953,-0.31458271510645097,-0.1372815852271367,355.08370841135365,0.1686496103060564,0.22872623027882574,11,9,1,5,8.0,0.013459188496848552,14,0.5384615384615384,True
0,100,close_confirmed_stop_2_0x_next_open_exit,34,66,26,0.5,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,43.232895502027596,-29.840301381037754,1.448808942978715,274.103723572868,-0.50268897001441,-0.1940655979139375,196.96582552065234,0.14240099884274005,0.15296619454535976,12,9,1,4,8.5,0.013787485927846451,15,0.5769230769230769,False
0,100,hybrid_close_stop_2_0x_intraday_catastrophic_3_0x,34,66,26,0.5384615384615384,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,47.32773389654744,-30.414728850012697,1.8154260002863372,397.6115283515119,-0.3585812127639523,-0.1700258012359602,301.22859155995565,0.14546429584310572,0.26773151709321114,11,9,1,5,8.0,0.013459188496848552,14,0.5384615384615384,False
1,100,baseline_current,34,66,34,0.5882352941176471,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.0486997614384683,0.023112404792764996,26.387991915593865,-21.60849860034667,1.7445511604117858,325.24085790702384,-0.27041343768928716,-0.12586075789565754,265.05674741268257,0.19190938498440832,0.19974460722719417,14,16,1,3,5.0,-0.0001049676386962935,16,0.47058823529411764,True
1,100,atr_stop_2_0x,34,66,26,0.6538461538461539,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.0486997614384683,0.023112404792764996,27.84570398785889,-26.837833700482776,1.9598243827336008,331.8364644892562,-0.2460267038392514,-0.1708454743084604,251.5173504962927,0.2279534491098442,0.3187911894120516,8,10,1,7,8.0,-0.002066580186092515,8,0.3076923076923077,True
1,100,atr_stop_2_5x,34,66,23,0.6521739130434783,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.0486997614384683,0.023112404792764996,35.255358377992565,-34.01788963566504,1.9432068734043837,356.68725858456816,-0.27850240565638174,-0.20925740527095224,275.3264892636714,0.2721444850671912,0.35308621419092934,6,9,0,8,11.0,-0.0002811516425639019,6,0.2608695652173913,True
1,100,time_exit_20d_no_intraday_stop,34,66,17,0.5294117647058824,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.0486997614384683,0.023112404792764996,42.622980435159484,-42.42466685533521,1.1302587985678962,144.20948907375373,-0.6613017687153838,-0.35593577109791363,15.216983580589613,0.33626228067638275,0.42015398616637034,0,0,0,17,20.0,0.007339256329035086,0,0.0,False
1,100,close_based_stop_2_0x,34,66,24,0.6666666666666666,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.0486997614384683,0.023112404792764996,29.28466746584008,-24.95965823248452,2.34655997234182,368.8774135935651,-0.19069723812421557,-0.17083174043668845,272.4944768020089,0.23029950882911526,0.3514457912383634,5,9,1,9,10.0,-0.0020094666178430975,8,0.3333333333333333,True
1,100,close_based_stop_2_0x_with_intraday_breach_flag,34,66,24,0.6666666666666666,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.0486997614384683,0.023112404792764996,29.28466746584008,-24.95965823248452,2.34655997234182,368.8774135935651,-0.19069723812421557,-0.17083174043668845,272.4944768020089,0.23029950882911526,0.3514457912383634,5,9,1,9,10.0,-0.0020094666178430975,8,0.3333333333333333,True
1,100,close_confirmed_stop_2_0x_next_open_exit,34,66,24,0.6666666666666666,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.0486997614384683,0.023112404792764996,27.770741877930508,-26.767900952696774,2.0749286189459473,330.18866242531396,-0.24206912540573777,-0.22708075035364317,249.86954843235048,0.24285431636115587,0.31022694676612594,5,9,1,9,10.0,-0.0020094666178430975,8,0.3333333333333333,True
