sample_id,filter_name,filter_description,replay_rounds,original_buy_count,filtered_buy_count,excluded_decision_count,excluded_loser_count,excluded_winner_count,excluded_stopped_out_then_20d_positive_count,no_trade_count_after_filter,trade_simulation_accuracy,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_return_20d,median_return_20d,average_win,average_loss,profit_factor,ending_account_value,max_drawdown,worst_trade_account_loss,ending_value_excluding_best_decision,top_ticker_profit_share,top_ticker_loss_share,passes_phase1d_diagnostic_gate,volatility_20d_max,smoke_score_min,filter_kind,split
0,no_filter_baseline_current,Candidate 34 unchanged with baseline_current exits.,100,34,34,0,0,0,0,66,0.4117647058823529,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.1361402319004378,0.0373048454897108,24.8418950955138,-13.408735015685199,1.296865554171819,179.61183102348932,-0.4586370161801102,-0.11661023735290654,135.41860835089065,0.1635823527589106,0.1588440889014534,False,,,no_filter,calibration
0,phase1d_volatility_plus_smoke_score,Phase 1D fixed filter: volatility_20d <= 0.0697 and smoke_score >= 0.8839.,100,34,17,17,12,5,6,83,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.4117647058823529,0.4117647058823529,0.5882352941176471,0.0542587276956329,0.03183082952469274,21.072469663862208,-11.70419221084457,2.025473261613014,196.01868928800334,-0.23218876744526906,-0.09827933788188799,159.9082229913986,0.2390748803586939,0.28529054366442763,True,0.0697,0.8839,vol_smoke,calibration
0,vol_0.055_smoke_0.880,Require volatility_20d <= 0.055 and smoke_score >= 0.880.,100,34,14,20,12,8,6,86,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.42857142857142855,0.5,0.044191588112558806,-0.005613370537660034,16.20240494464694,-8.376031160627075,1.450783011124263,130.20618038286503,-0.3396141666874639,-0.09662077302192142,100.74403193446591,0.4173593407968016,0.23173574621867285,False,0.055,0.88,vol_smoke,calibration
0,vol_0.055_smoke_0.900,Require volatility_20d <= 0.055 and smoke_score >= 0.900.,100,34,12,22,13,9,6,88,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.25,0.4166666666666667,0.5,0.05628852690829627,-0.005613370537660034,17.385389828273237,-8.102136004856638,1.532698980143011,130.2119971073697,-0.2971052482790594,-0.10283459898635966,100.7498486589706,0.46675226362932754,0.2737938778747825,False,0.055,0.9,vol_smoke,calibration
0,vol_0.055_smoke_0.920,Require volatility_20d <= 0.055 and smoke_score >= 0.920.,100,34,8,26,16,10,7,92,0.5,0.5,0.5,0.375,0.5,0.5,0.05787034772765276,0.007815852216645547,19.42408299105509,-7.994725608485073,2.4296122146380674,145.71742953028007,-0.17969569170633037,-0.08223622151692433,116.25528108188094,0.5222041923524575,0.47586718078852,False,0.055,0.92,vol_smoke,calibration
0,vol_0.055_smoke_0.940,Require volatility_20d <= 0.055 and smoke_score >= 0.940.,100,34,7,27,17,10,7,93,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.07379060193023994,0.03183082952469274,19.424082991055087,-10.488041467757435,2.4693625974902336,146.23220756094804,-0.20481430744851803,-0.08023288108597976,116.7700591125489,0.5222041923524576,0.6367433556112313,False,0.055,0.94,vol_smoke,calibration
0,vol_0.060_smoke_0.880,Require volatility_20d <= 0.060 and smoke_score >= 0.880.,100,34,15,19,12,7,6,85,0.4666666666666667,0.4,0.4,0.3333333333333333,0.4,0.5333333333333333,0.05265922792185749,0.004972384016081577,16.097872858514602,-8.42403026526313,1.6720783648277056,145.29286788749718,-0.2861087210271671,-0.09662077302192142,115.83071943909806,0.36005955248805044,0.23041534399071184,False,0.06,0.88,vol_smoke,calibration
0,vol_0.060_smoke_0.900,Require volatility_20d <= 0.060 and smoke_score >= 0.900.,100,34,13,21,13,8,6,87,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.06512834678089187,0.004972384016081577,17.066271580514464,-8.156992124440702,1.7933366319513422,145.29868461200186,-0.24015878763736354,-0.10283459898635966,115.83653616360276,0.3962332964829589,0.27195260238046376,False,0.06,0.9,vol_smoke,calibration
0,vol_0.060_smoke_0.920,Require volatility_20d <= 0.060 and smoke_score >= 0.920.,100,34,9,25,16,9,7,91,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.07046321856369568,0.03183082952469274,21.482786319296714,-8.73360893297194,3.0747292562804254,172.4794958645958,-0.13983444123662636,-0.08223622151692433,136.36902956799105,0.3777289377558952,0.5202100180856634,False,0.06,0.92,vol_smoke,calibration
0,vol_0.060_smoke_0.940,Require volatility_20d <= 0.060 and smoke_score >= 0.940.,100,34,8,26,17,9,7,92,0.625,0.5,0.625,0.5,0.5,0.625,0.08596754984546483,0.09238989343998749,21.482786319296718,-10.488041467757435,3.4138541476562563,175.94980719321129,-0.14709757287790426,-0.08023288108597976,139.83934089660653,0.3777289377558951,0.6367433556112313,False,0.06,0.94,vol_smoke,calibration
