date,action,ticker,entry_price,entry_low,entry_high,stop_loss,target_1,target_2,expected_holding_days,confidence,reason,smoke_score,rank,fwd_return_5d,fwd_return_10d,fwd_return_20d,excess_return_5d,excess_return_10d,excess_return_20d
2026-03-05,BUY,AVGO,332.7699890136719,331.1061390686035,334.4338389587402,312.59176962716236,373.1264277866909,413.4828665597099,20,82,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.8244897959183672,1,0.009616288465543521,-0.03885564534862551,-0.054752537254657785,0.031999638269079145,-0.007284099587218873,-0.017354024741917717
2026-03-06,BUY,MRVL,89.56999969482422,89.12214969635009,90.01784969329833,83.16928563799178,102.3714278084891,115.17285592215399,20,91,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.9061224489795918,1,-0.019091203419658642,-0.01853294672737138,0.22261920854464923,-0.004084768394531313,0.0168785726302626,0.24262279596449732
2026-03-09,BUY,MRVL,92.6500015258789,92.18675151824951,93.11325153350829,85.70928737095424,106.53142983572823,120.41285814557756,20,92,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.9224489795918368,1,-0.011548836235316662,-0.02687531379126884,0.18057199624401576,0.0020740425125317374,0.006872329461866111,0.20865822780307897
2026-03-10,BUY,MRVL,93.30000305175781,92.83350303649902,93.76650306701659,86.19643211364746,107.50714492797852,121.71428680419922,20,91,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.9142857142857143,1,-0.02690248718253585,-0.010075052633007786,0.2266880300609584,-0.017466274185178543,0.0253660416987479,0.22841575817284965
2026-03-11,BUY,MU,418.69000244140625,416.5965524291992,420.7834524536132,381.9153551374163,492.2392970493861,565.7885916573659,20,88,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.8755102040816327,1,0.10279683845793564,-0.08741552434999356,0.006735310869079969,0.12482753950263459,-0.05856864594354061,0.0014421019855062056
2026-03-12,BUY,SO,97.83999633789062,97.35079635620117,98.32919631958006,95.44535527910504,102.62927845546179,107.41856057303295,20,79,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.7938775510204081,1,-0.016455366324799492,-0.024734242227359093,-0.007052277573977195,-0.007056798945628384,0.006749364024313809,-0.027170621962139707
2026-03-13,BUY,MU,426.1300048828125,423.9993548583984,428.2606549072265,387.8339342389788,502.72214617047985,579.3142874581472,20,87,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.8693877551020408,1,-0.00757987222048917,-0.16171122162838525,0.0010090645363014517,0.013136084774648338,-0.11913175929699127,-0.03494195140616041
2026-03-16,BUY,MU,441.79998779296875,439.5909878540039,444.00898773193353,403.1032039097377,519.1935555594308,596.5871233258929,20,94,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.9428571428571428,1,-0.08476682373065725,-0.27161612339435603,0.054006375120865036,-0.06436411560646715,-0.2162224086567699,0.015996134082047586
2026-03-17,BUY,MU,461.69000244140625,459.3815524291992,463.99845245361325,422.77357373918807,539.5228598458426,617.355717250279,20,95,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.963265306122449,1,-0.14329962380007533,-0.2682536018726843,-0.011826098521098172,-0.1170470172788064,-0.23776723230584296,-0.055282359599695075
2026-03-18,BUY,MU,461.7300109863281,459.42136093139646,464.03866104125973,424.8492965698242,535.4914398193359,609.2528686523438,20,95,Top ranked EOD candidate with positive 5d/20d momentum and elevated relative volume.,0.963265306122449,1,-0.17248178102678202,-0.20332229365440202,-0.009745955196603484,-0.16551205573066563,-0.19396377875494164,-0.07056868914309677
