family_name,split_name,sample_count,total_buy_count,median_buy_count_per_sample,worst_sample_ending_value,median_ending_value,best_sample_ending_value,worst_max_drawdown,median_max_drawdown,median_simulated_win_rate,median_20d_accuracy,median_profit_factor,worst_top_ticker_loss_share,worst_top_theme_loss_share,pass_fail_status,failed_gates
candidate34_frozen_baseline,calibration,10,344,34.0,43.161526503426906,185.82498521559634,325.24085790702384,-0.6413733246556532,-0.3726957524971696,0.4264705882352941,0.542483660130719,1.3314416492542636,0.39260173590049763,0.47744471203853234,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52;median_20d_accuracy_lt_55
candidate34_frozen_baseline,holdout,10,325,31.5,62.366464524541804,140.00010452784852,263.3875563806813,-0.5637272398866912,-0.3985078856485122,0.4065934065934066,0.49143145161290325,1.2005115357320713,0.35246711616898974,0.38392484815253325,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52;median_20d_accuracy_lt_55
candidate34_frozen_baseline,validation,10,323,32.0,56.69774018784946,159.83955749893235,337.69650160203787,-0.6757255150240151,-0.3677128037529113,0.4365079365079365,0.4995112414467253,1.2737207994233974,0.39263823947033955,0.5241232109091413,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52;median_20d_accuracy_lt_55
candidate35_breakout_confirmation,calibration,10,776,76.5,29.799686116491344,116.66815939576347,170.1992009278715,-0.7883555688551649,-0.48145237711205635,0.3875677930746767,0.5608760826115923,1.0641835070235073,0.15686398519315656,0.4534671479351876,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52
candidate35_breakout_confirmation,holdout,10,785,79.5,59.11023531307536,102.5549383042884,207.62878806087033,-0.6659595440179709,-0.4534234930125117,0.39212765957446805,0.5625,1.0177781467498463,0.18465339747150503,0.4475777029081876,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52
candidate35_breakout_confirmation,validation,10,769,76.5,59.21513488088384,113.80971583117795,209.35968118306675,-0.7435231904898905,-0.4847905267580095,0.3955910852713178,0.5562478062478062,1.0516498060919062,0.18963045011062235,0.49672482101723625,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52
candidate35_low_volatility_compounder,calibration,10,221,22.5,89.03032804080433,144.17325614513695,262.065703246117,-0.41005841211260985,-0.19513385368840674,0.4618421052631579,0.6277056277056277,1.546045048806374,0.5034338493872211,0.5377604286683977,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52
candidate35_low_volatility_compounder,holdout,10,222,23.0,92.73184846387609,120.91504814577118,188.89921467065827,-0.31137827878939506,-0.18825566616253797,0.46411483253588515,0.6602564102564102,1.3685440591683082,0.531373988565518,0.5845183633448575,FAIL,worst_ending_lte_105;median_win_rate_lt_52
candidate35_low_volatility_compounder,validation,10,210,22.0,74.52627297714797,98.59070781782711,148.77062128189655,-0.3734165736238215,-0.22077947539452014,0.40032679738562094,0.5954545454545455,0.9789399023027228,0.5593669679503895,0.6156704962746864,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52
candidate35_pullback_continuation,calibration,10,902,90.0,126.38162525980874,203.02868296851506,366.96747294167244,-0.5793235891443006,-0.36512589919670746,0.472678916827853,0.5865792759051186,1.3292398653962352,0.2596514653757914,0.4987432451628865,FAIL,worst_drawdown_lte_minus_35;median_win_rate_lt_52
candidate35_pullback_continuation,holdout,10,934,93.0,159.2382741666533,262.0308399579195,311.03008378097104,-0.552167253378412,-0.43290073969651405,0.45916666666666667,0.5957446808510638,1.381428194280925,0.2551039027731481,0.4719599834364229,FAIL,worst_drawdown_lte_minus_35;median_win_rate_lt_52
candidate35_pullback_continuation,validation,10,918,92.0,83.2392374624529,193.32832983272482,440.6374431136691,-0.6436980448688234,-0.4030743123260538,0.46469387755102043,0.5675549322113137,1.3624472663038731,0.2367558451077626,0.4900420654761244,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52
candidate35_regime_gated_momentum,calibration,10,724,73.0,97.62160194315291,237.79954651863315,1882.2481032009175,-0.5981410849835627,-0.4725185023535972,0.4285024154589372,0.48237367802585196,1.280480799366274,0.21839629255320922,0.47224631844233306,FAIL,worst_ending_lte_105;worst_drawdown_lte_minus_35;median_win_rate_lt_52;median_20d_accuracy_lt_55
