sample_id,policy_name,drawdown_start_replay_date,drawdown_end_replay_date,drawdown_depth,number_of_trades_in_drawdown,tickers_in_drawdown,themes_in_drawdown,worst_trade_in_drawdown,whether_overlay_excluded_worst_trade,whether_overlay_reduced_drawdown,whether_overlay_delayed_or_shifted_drawdown
5,overlay_ticker_loss_cooldown_8pct_10,2025-10-17,2026-03-26,-0.3658577250030367,9,"F,HPE,INTC,MRNA","AI infrastructure,EV / mobility,biotech,semiconductor / hardware",2026-03-26 HPE pnl=-11.09,False,,
5,overlay_ticker_loss_cooldown_8pct_15,2025-10-17,2026-03-26,-0.3658577250030367,9,"F,HPE,INTC,MRNA","AI infrastructure,EV / mobility,biotech,semiconductor / hardware",2026-03-26 HPE pnl=-11.09,False,,
5,overlay_ticker_loss_cooldown_10pct_5,2025-10-17,2026-03-26,-0.3710845177144685,9,"F,HPE,INTC,MRNA","AI infrastructure,EV / mobility,biotech,semiconductor / hardware",2026-03-26 HPE pnl=-15.84,False,,
5,overlay_ticker_loss_cooldown_10pct_10,2025-10-17,2026-03-26,-0.3690095322254714,9,"F,HPE,INTC,MRNA","AI infrastructure,EV / mobility,biotech,semiconductor / hardware",2026-03-26 HPE pnl=-12.67,False,,
5,overlay_ticker_loss_cooldown_10pct_15,2025-10-17,2026-03-26,-0.3690095322254714,9,"F,HPE,INTC,MRNA","AI infrastructure,EV / mobility,biotech,semiconductor / hardware",2026-03-26 HPE pnl=-12.67,False,,
6,candidate34_frozen_baseline,2025-05-13,2026-03-19,-0.3898098574937452,15,"ACHR,BBAI,CORZ,HPE,INTC,JOBY,PATH,RIVN,RKLB,SOFI","AI / software,AI infrastructure,EV / mobility,crypto-adjacent / high beta,fintech,semiconductor / hardware,space / defense / nuclear",2026-03-19 RIVN pnl=-13.94,False,,
6,candidate35_trend_quality_frozen,2025-10-01,2026-03-03,-0.3010609026161536,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-38.81,False,,
6,overlay_market_regime_risk_off_skip,2025-10-01,2026-03-03,-0.28859170246294386,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-38.81,False,,
6,overlay_high_volatility_tail_skip,2025-09-23,2026-03-27,-0.237292382745108,8,"CORZ,F,HPE,INTC","AI infrastructure,EV / mobility,crypto-adjacent / high beta,semiconductor / hardware",2026-03-27 HPE pnl=-14.20,True,,
6,overlay_theme_loss_cooldown_5pct_3,2025-10-01,2026-04-24,-0.3005917974656134,7,"CORZ,F,INTC,MRNA,RIVN,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-04-24 CORZ pnl=-9.82,True,,
6,overlay_theme_loss_cooldown_5pct_5,2025-10-01,2026-04-24,-0.3292739215285332,7,"CORZ,F,INTC,MRNA,PATH,XPEV","AI / software,EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-04-24 CORZ pnl=-16.37,True,,
6,overlay_theme_loss_cooldown_5pct_8,2025-10-01,2026-05-28,-0.31476296676060145,7,"CORZ,F,INTC,MRNA,PATH,XPEV","AI / software,EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-05-28 F pnl=-13.81,True,,
6,overlay_theme_loss_cooldown_8pct_3,2025-10-01,2026-03-03,-0.3097389748348921,7,"F,INTC,MRNA,RIVN,XPEV","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
6,overlay_theme_loss_cooldown_8pct_5,2025-10-01,2026-03-03,-0.3151841925559514,7,"F,INTC,MRNA,PATH,XPEV","AI / software,EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
6,overlay_theme_loss_cooldown_8pct_8,2025-10-01,2026-03-03,-0.30907269202683163,7,"F,INTC,MRNA,PATH,XPEV","AI / software,EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-33.27,False,,
6,overlay_theme_loss_cooldown_10pct_3,2025-10-01,2026-03-03,-0.29236471847144396,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-33.27,False,,
6,overlay_theme_loss_cooldown_10pct_5,2025-10-01,2026-03-03,-0.29236471847144396,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-33.27,False,,
6,overlay_theme_loss_cooldown_10pct_8,2025-10-01,2026-03-03,-0.2859148452851551,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-33.27,False,,
6,overlay_ticker_loss_cooldown_5pct_5,2024-03-13,2024-10-10,-0.21003730637302387,9,"GM,HOOD,KTOS,PLTR,RBLX,RKLB","AI / software,EV / mobility,consumer internet,fintech,space / defense / nuclear",2024-10-10 PLTR pnl=-4.47,True,,
