sample_id,replay_date,ticker,entry_date,entry_price,reference_price,entry_gap_pct,exit_date,exit_reason,pnl_dollars,trade_return_pct,account_return_pct,forward_return_20d,max_favorable_excursion_20d,max_adverse_excursion_20d,stopped_out_then_20d_positive,intraday_stop_breached,same_day_recovered_above_stop,days_to_stop,days_to_max_adverse_20d,failed_checks_at_selection,decision_strength,smoke_score,sector_or_theme
0,2024-01-10,SMCI,2024-01-11,34.48400115966797,34.237998962402344,0.007185063517753054,2024-01-17,STOP,-5.096325648716501,-0.07289405923517234,-0.050963256487165015,1.0386706340054235,1.071946267683241,-0.11335692684352505,True,True,False,4,4.0,,0.7915755483931489,0.9631578947368421,semiconductor / hardware
0,2024-01-19,SMCI,2024-01-22,45.6349983215332,42.33599853515625,0.07792422289596956,2024-01-22,STOP,-8.282342733110681,-0.08974551372562023,-0.08727104392664296,0.8974868554408455,1.3619372527207148,-0.10115037765378931,True,True,True,1,1.0,,0.7894736842105265,1.0,semiconductor / hardware
0,2024-04-25,F,2024-04-26,12.760000228881836,13.039999961853027,-0.021472372223182323,2024-04-30,STOP,-6.339645986557002,-0.044167040986320405,-0.04432899471303009,-0.07131904201659411,0.020376193120540398,-0.06661444876354927,False,True,False,3,11.0,,0.55491220056375,0.9111111111111111,EV / mobility
0,2024-05-13,NVAX,2024-05-14,13.399999618530273,13.109999656677246,0.022120516357551745,2024-05-15,STOP,-15.937573979241492,-0.11793712263395995,-0.11661023735290654,0.2761250938489024,0.7805971111638399,-0.1559700939113018,True,True,True,2,2.0,,1.0,1.0,
0,2024-06-18,HPE,2024-06-20,22.65999984741211,21.84000015258789,0.037545773310219355,2024-06-21,STOP,-7.997460057939776,-0.05782215439683058,-0.05434139206447861,-0.05357143169045753,0.0035304467892656177,-0.10458953873979981,False,True,False,2,11.0,,0.5363202020076586,0.9257142857142858,semiconductor / hardware
0,2024-07-08,PLTR,2024-07-09,27.93000030517578,27.700000762939453,0.008303232343013223,2024-07-25,STOP,-6.84714676775252,-0.06028845947849537,-0.04919873504521023,-0.13032492819211305,0.06802719648299393,-0.23988545255038396,False,True,True,13,20.0,,0.4690900796370112,0.8777777777777779,AI / software
0,2024-11-13,RKLB,2024-11-14,19.43000030517578,18.829999923706055,0.031864067121655015,2024-11-14,STOP,-17.75283529635834,-0.1005201865244173,-0.09351220746994647,0.199150292893997,0.4462171868306364,-0.1353577471336762,True,True,False,1,2.0,,0.81505376344086,0.9935483870967742,space / defense / nuclear
0,2025-03-21,KTOS,2025-03-24,30.969999313354492,30.809999465942383,0.005193114254642417,2025-04-01,STOP,-15.801786218643173,-0.0718898314912566,-0.06594863042319433,0.03602728431003599,0.09589923730071925,-0.16758148988627908,True,True,True,7,11.0,,0.6254901960784314,0.876470588235294,space / defense / nuclear
0,2025-06-09,RKLB,2025-06-10,29.56999969482422,29.639999389648438,-0.002361663166857708,2025-06-12,STOP,-24.845130641392274,-0.10402676233431385,-0.0937289626688772,0.3205128271128712,0.3506932377040193,-0.1464321937231523,True,True,False,3,4.0,,0.6350255936770485,0.9,space / defense / nuclear
0,2025-06-27,CORZ,2025-06-30,16.950000762939453,16.649999618530273,0.018018087164116237,2025-07-07,STOP,-20.598296257019,-0.08580276160920997,-0.08574439196263012,-0.17447446243410913,0.07433618081529181,-0.2672566656486639,False,True,False,5,9.0,,0.64,0.9199999999999999,crypto-adjacent / high beta
0,2025-08-19,INTC,2025-08-20,24.899999618530273,25.309999465942383,-0.016199125091401645,2025-08-21,STOP,-18.613287100110682,-0.07375215817376535,-0.07218188690623546,-0.016199125091401645,0.039357411937750664,-0.08514052065716049,False,True,True,2,2.0,,0.8407279621536561,0.9714285714285715,semiconductor / hardware
