policy,buy_count,executed_count,win_rate,trade_simulation_accuracy,average_win,average_loss,profit_factor,ending_account_value,max_drawdown,worst_trade_account_loss,stop_count,target_1_count,target_2_count,time_exit_count,median_holding_days,average_entry_gap_pct,stopped_trades_20d_positive_pct,ending_value_excluding_best_trade,top_ticker_profit_share,top_ticker_profit_gt_50pct
baseline_current,34,34,0.4117647058823529,0.4117647058823529,24.8418950955138,-13.408735015685199,1.296865554171819,179.61183102348932,-0.4586370161801102,-0.11661023735290654,20,11,2,1,4.0,0.0105450622580167,0.35,135.41860835089065,0.1635823527589106,False
atr_stop_1_5x,34,34,0.4117647058823529,0.4117647058823529,24.8418950955138,-13.408735015685199,1.296865554171819,179.61183102348932,-0.4586370161801102,-0.11661023735290654,20,11,2,1,4.0,0.0105450622580167,0.35,135.41860835089065,0.1635823527589106,False
atr_stop_2_0x,34,27,0.4444444444444444,0.4444444444444444,40.59013950246858,-22.879500452068843,1.4192666343394147,243.8891672485903,-0.5244998497187515,-0.12931201169554252,14,8,1,4,8.0,0.010567714809764294,0.2857142857142857,175.01604398768353,0.14139953714768191,False
atr_stop_2_5x,34,25,0.52,0.52,40.26841956983297,-27.412833757582145,1.5913758346338909,294.5354493168428,-0.36407734388598656,-0.16373565878891544,10,8,0,7,16.0,0.011442107927639208,0.3,212.74344050162236,0.1729488535241589,False
atr_stop_3_0x,34,24,0.5,0.5,35.18205069939298,-28.960989442802582,1.2148083120183748,174.65273507908478,-0.6475895876181277,-0.19509265929840153,9,6,0,9,14.0,0.012777706224370263,0.2222222222222222,86.3403207686294,0.26507768884961325,False
time_exit_20d_no_intraday_stop,34,19,0.5789473684210527,0.5789473684210527,32.600774876941365,-28.23331635200974,1.5877010301201655,232.74199283027713,-0.4535349726997495,-0.18790612137020252,0,0,0,19,20.0,0.008529007254258255,,162.17895704841675,0.300995458600774,False
close_based_stop_1_5x,34,30,0.43333333333333335,0.43333333333333335,34.97244802043205,-18.24865316403009,1.4655129055891765,244.41472047710505,-0.4721343637818618,-0.10110951529522547,16,10,2,2,5.5,0.009305427109334564,0.3125,170.75934935610724,0.19342963483864323,False
close_based_stop_2_0x,34,26,0.5384615384615384,0.5384615384615384,54.42839326354437,-31.533601240793825,2.013718371584356,483.5942908000953,-0.31458271510645097,-0.1372815852271367,11,9,1,5,8.0,0.013459188496848552,0.2727272727272727,355.08370841135365,0.1686496103060564,False
