sample_id,policy_name,replay_rounds,buy_count,no_trade_count,buy_rate,simulated_win_rate,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_forward_return_1d,average_forward_return_3d,average_forward_return_5d,average_forward_return_10d,average_forward_return_20d,median_forward_return_1d,median_forward_return_3d,median_forward_return_5d,median_forward_return_10d,median_forward_return_20d,average_win_dollars,average_loss_dollars,profit_factor,ending_account_value,max_drawdown,worst_trade_loss_percent,stopped_out_but_20d_positive_rate,best_trade,worst_trade,top_profit_ticker_contribution_share,top_loss_ticker_contribution_share,top_profit_theme_contribution_share,top_loss_theme_contribution_share,number_of_trades_excluded_by_overlay,excluded_loser_count,excluded_winner_count,excluded_loser_dollars_avoided,excluded_winner_dollars_missed,overlay_false_positive_rate,overlay_false_negative_rate,ending_value_excluding_best_trade,split_name
0,candidate34_frozen_baseline,100,34,66,0.34,0.4117647058823529,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.012077529700892806,0.02091358568073783,0.011029964591897952,0.06023112516511946,0.1361402319004378,0.0041340676531075315,0.022113971027487134,0.0044431309127573315,0.019700086571763475,0.0373048454897108,24.8418950955138,-13.408735015685199,1.296865554171819,179.61183102348932,-0.4586370161801102,-0.11661023735290654,0.20588235294117646,2025-01-17 HOOD pnl=44.19,2025-06-09 RKLB pnl=-24.85,0.1635823527589106,0.1588440889014534,0.29850275654460573,0.21776756751505358,0,0,0,0.0,0.0,0.0,0.5882352941176471,135.41860835089065,calibration
0,candidate35_trend_quality_frozen,100,84,16,0.84,0.5813953488372093,0.5476190476190477,0.5714285714285714,0.5833333333333334,0.6666666666666666,0.6547619047619048,0.005561107176083377,0.020771755188428387,0.022505398392719193,0.046091191148996374,0.07352617448027862,0.0046404024349741,0.00886610706442903,0.014815321596543196,0.033173458263077715,0.038012738122299994,29.157768283680536,-15.735558250888927,2.573591590988708,545.7041585760127,-0.28277960325528995,-0.10175994349441488,0.16279069767441862,2026-05-29 HPE pnl=108.33,2025-10-02 INTC pnl=-35.99,0.3107838254816585,0.41303409025554627,0.3107838254816585,0.41303409025554627,0,0,0,0.0,0.0,0.0,0.4186046511627907,437.37275968619844,calibration
0,overlay_market_regime_risk_off_skip,100,82,18,0.82,0.5681818181818182,0.5609756097560976,0.573170731707317,0.573170731707317,0.6585365853658537,0.6463414634146342,0.005795398351349273,0.021630935994353173,0.022066722206414265,0.046599632106596095,0.07403036013000432,0.004926058883230389,0.00990455548232927,0.014815321596543196,0.033173458263077715,0.038012738122299994,33.98665865032743,-16.767427874263955,2.6670332523951474,631.0853366471706,-0.2830431522745599,-0.10325620661302477,0.18181818181818182,2026-05-29 HPE pnl=132.41,2025-10-02 INTC pnl=-39.26,0.32025616761159054,0.40842569599236644,0.32025616761159054,0.4084256959923664,2,0,2,0.0,6.806134811401378,1.0,0.4318181818181818,498.68029355961994,calibration
0,overlay_high_volatility_tail_skip,100,60,40,0.6,0.5882352941176471,0.55,0.5833333333333334,0.5333333333333333,0.7,0.6666666666666666,0.0022103091151531623,0.017182666946136422,0.01821099138816509,0.04465393068454175,0.088526537405085,0.004409986893503914,0.007647594237818023,0.004700348207722915,0.02685465701874823,0.06201171289447205,15.422220836625792,-9.37683191844394,2.349593577441311,277.1687698743007,-0.2216741734327028,-0.07639983603011642,0.20588235294117646,2025-01-17 HOOD pnl=29.46,2026-04-24 CORZ pnl=-16.37,0.24388914400511455,0.34424320735498243,0.24388914400511458,0.34424320735498243,24,11,13,91.14022679805745,199.5927847088406,0.5416666666666666,0.4117647058823529,247.70662142590163,calibration
0,overlay_theme_loss_cooldown_5pct_3,100,63,37,0.63,0.4444444444444444,0.5238095238095238,0.47619047619047616,0.5396825396825397,0.6349206349206349,0.6031746031746031,0.00454986929342318,0.01071135281444657,0.007666500079494225,0.03157032625611837,0.043431188500822025,0.00436164208352352,-0.002166114499581262,0.00722987967825417,0.025740683959096122,0.03366392895926196,12.552672424290877,-8.149535309226161,1.2322344229938986,137.85205260413085,-0.46155909931759076,-0.10175059159669293,0.19444444444444445,2026-05-29 HPE pnl=24.07,2025-10-28 SOFI pnl=-14.29,0.2654628115711103,0.18238638049737238,0.3429097017100583,0.3444979975785503,21,4,17,29.370163534845602,190.04799365030027,0.8095238095238095,0.5555555555555556,113.77840840639433,calibration
0,overlay_theme_loss_cooldown_5pct_5,100,59,41,0.59,0.5161290322580645,0.5254237288135594,0.4745762711864407,0.576271186440678,0.6271186440677966,0.6610169491525424,0.003474134467208806,0.009292977237568818,0.013991986482800667,0.03349080646770565,0.05318677073245775,0.00436164208352352,-0.002166114499581262,0.007802016704394177,0.024511136215574547,0.037563871163798,19.618501154252478,-10.991558460617052,1.9038611591051724,249.02264155878387,-0.3647187724949934,-0.09250413487989109,0.1935483870967742,2026-05-29 HPE pnl=48.15,2025-11-13 XPEV pnl=-24.13,0.2190009731073922,0.22852881927207028,0.2979762613359196,0.27842734770011984,25,11,14,86.61103307982845,145.41394313076574,0.56,0.4838709677419355,200.87535316331088,calibration
0,overlay_theme_loss_cooldown_5pct_8,100,50,50,0.5,0.4642857142857143,0.5,0.5,0.6,0.66,0.64,0.002398601750217888,0.008446219348541548,0.010368042673080469,0.022806227747348834,0.041014151458843025,0.002065906793999095,-5.8231769322181215e-05,0.009725386318970242,0.02290152453568428,0.03528753085286174,13.87423197643574,-9.27690729170298,1.2961576527052163,141.21140631811994,-0.364355499489045,-0.0982557258530375,0.21428571428571427,2025-01-17 HOOD pnl=29.46,2025-11-13 XPEV pnl=-19.31,0.41619561457816645,0.20135665939347774,0.5795429706887227,0.295204721043605,34,14,20,103.55040747083923,239.7343937638148,0.5882352941176471,0.5357142857142857,111.74925786972084,calibration
0,overlay_theme_loss_cooldown_8pct_3,100,76,24,0.76,0.5476190476190477,0.5657894736842105,0.5526315789473685,0.5789473684210527,0.6842105263157895,0.6578947368421053,0.007679069402832107,0.0223474744909564,0.02237598737438032,0.04937981035630321,0.07432181140156618,0.005272587887576785,0.008299280645094442,0.014815321596543196,0.03815332176696917,0.051786886395269294,25.070782349841217,-14.710112098787045,2.063127839414326,397.13586416939415,-0.4229807387918567,-0.10175994349441488,0.14285714285714285,2026-05-29 HPE pnl=84.26,2025-10-02 INTC pnl=-29.44,0.29521738038296935,0.2383372684063747,0.3034725334903528,0.3686651320941708,8,3,5,19.351805727822423,31.14262971551082,0.625,0.4523809523809524,312.8781094773164,calibration
0,overlay_theme_loss_cooldown_8pct_5,100,76,24,0.76,0.5476190476190477,0.5526315789473685,0.5394736842105263,0.5789473684210527,0.6710526315789473,0.6578947368421053,0.0066953766951683815,0.021537987511846293,0.022165696119112947,0.0474438321510189,0.07436424825839583,0.004926058883230389,0.005849361930804875,0.012526790972497981,0.03662608537323542,0.038012738122299994,24.865831204829032,-14.583846733358554,2.063978289662994,394.82102977725526,-0.4292569471804869,-0.10175994349441488,0.14285714285714285,2026-05-29 HPE pnl=84.26,2025-10-02 INTC pnl=-29.44,0.297650644714195,0.24040076666172355,0.30597383910552634,0.288951366807293,8,4,4,27.009331224169017,39.940744218962564,0.5,0.4523809523809524,310.5632750851775,calibration
0,overlay_theme_loss_cooldown_8pct_8,100,70,30,0.7,0.575,0.5714285714285714,0.5714285714285714,0.6142857142857143,0.7285714285714285,0.6714285714285714,0.007803507895647647,0.023298695524485727,0.02771117423814061,0.057482522330323235,0.08001779921696738,0.005272587887576785,0.011957092104565747,0.022417822443760338,0.04048482006597398,0.051786886395269294,25.96336695618364,-15.36013226987532,2.2868883950777215,436.03519140434344,-0.38032953817993254,-0.10315760387513204,0.15,2026-05-29 HPE pnl=84.26,2025-10-02 INTC pnl=-32.72,0.3030644853992398,0.2033873728317353,0.30306448539923975,0.24209689239250054,14,8,6,50.4330095579964,62.264410084179545,0.42857142857142855,0.425,351.7774367122657,calibration
