date,candidate_id,equity,cash,event,max_entry_price
,,100.0,100.0,START,20.0
2024-05-15,1,88.84369821453096,88.84369821453096,EXIT,20.0
2024-06-06,1,105.81461548600882,105.81461548600882,EXIT,20.0
2024-07-17,1,93.11733205236713,93.11733205236713,EXIT,20.0
2024-07-19,1,90.03455725029545,90.03455725029545,EXIT,20.0
2024-08-28,1,80.93463116134926,80.93463116134926,EXIT,20.0
2024-10-02,1,74.26424376794282,74.26424376794282,EXIT,20.0
2024-10-17,1,70.11488428040926,70.11488428040926,EXIT,20.0
2024-10-28,1,87.30913227169869,87.30913227169869,EXIT,20.0
2024-11-14,1,79.41898325109497,79.41898325109497,EXIT,20.0
2024-11-29,1,97.53076756347944,97.53076756347944,EXIT,20.0
2024-12-02,1,85.56779659891146,85.56779659891146,EXIT,20.0
2025-01-02,1,73.42217648553866,73.42217648553866,EXIT,20.0
2025-02-10,1,91.77078786345906,91.77078786345906,EXIT,20.0
2025-02-20,1,77.62465742356454,77.62465742356454,EXIT,20.0
2025-03-31,1,72.7275388108664,72.7275388108664,EXIT,20.0
2025-04-03,1,67.36527433913113,67.36527433913113,EXIT,20.0
2025-05-16,1,79.74582402638048,79.74582402638048,EXIT,20.0
2025-05-19,1,72.30922613334677,72.30922613334677,EXIT,20.0
2025-05-23,1,67.36052908243474,67.36052908243474,EXIT,20.0
2025-07-21,1,81.70118840599083,81.70118840599083,EXIT,20.0
2025-07-29,1,70.77514374569509,70.77514374569509,EXIT,20.0
2025-10-10,1,65.71154632105171,65.71154632105171,EXIT,20.0
2025-10-24,1,70.96348411846188,70.96348411846188,EXIT,20.0
2025-10-28,1,67.62662625939534,67.62662625939534,EXIT,20.0
2025-11-14,1,62.98235477774514,62.98235477774514,EXIT,20.0
2025-12-15,1,58.90683358328713,58.90683358328713,EXIT,20.0
2026-01-12,1,57.37086223493335,57.37086223493335,EXIT,20.0
,,100.0,100.0,START,30.0
2024-05-15,1,88.84369821453096,88.84369821453096,EXIT,30.0
2024-06-06,1,105.81461548600882,105.81461548600882,EXIT,30.0
2024-07-17,1,93.11733205236713,93.11733205236713,EXIT,30.0
2024-07-19,1,90.03455725029545,90.03455725029545,EXIT,30.0
2024-08-28,1,80.93463116134926,80.93463116134926,EXIT,30.0
2024-10-02,1,74.26424376794282,74.26424376794282,EXIT,30.0
2024-10-17,1,70.11488428040926,70.11488428040926,EXIT,30.0
2024-10-28,1,87.30913227169869,87.30913227169869,EXIT,30.0
2024-11-14,1,79.41898325109497,79.41898325109497,EXIT,30.0
2024-11-29,1,97.53076756347944,97.53076756347944,EXIT,30.0
2024-12-02,1,85.56779659891146,85.56779659891146,EXIT,30.0
2025-01-02,1,73.42217648553866,73.42217648553866,EXIT,30.0
2025-02-10,1,91.77078786345906,91.77078786345906,EXIT,30.0
2025-02-20,1,77.62465742356454,77.62465742356454,EXIT,30.0
2025-03-31,1,72.7275388108664,72.7275388108664,EXIT,30.0
2025-04-03,1,67.36527433913113,67.36527433913113,EXIT,30.0
2025-05-16,1,79.74582402638048,79.74582402638048,EXIT,30.0
2025-05-19,1,72.30922613334677,72.30922613334677,EXIT,30.0
2025-05-23,1,67.36052908243474,67.36052908243474,EXIT,30.0
2025-07-21,1,81.70118840599083,81.70118840599083,EXIT,30.0
2025-07-29,1,70.77514374569509,70.77514374569509,EXIT,30.0
2025-10-10,1,65.71154632105171,65.71154632105171,EXIT,30.0
2025-10-24,1,70.96348411846188,70.96348411846188,EXIT,30.0
2025-10-28,1,67.62662625939534,67.62662625939534,EXIT,30.0
2025-11-14,1,62.98235477774514,62.98235477774514,EXIT,30.0
2025-12-15,1,58.90683358328713,58.90683358328713,EXIT,30.0
2026-01-12,1,57.37086223493335,57.37086223493335,EXIT,30.0
,,100.0,100.0,START,50.0
2024-05-15,1,88.84369821453096,88.84369821453096,EXIT,50.0
2024-06-06,1,105.81461548600882,105.81461548600882,EXIT,50.0
2024-07-17,1,93.11733205236713,93.11733205236713,EXIT,50.0
2024-07-19,1,90.03455725029545,90.03455725029545,EXIT,50.0
2024-08-28,1,80.93463116134926,80.93463116134926,EXIT,50.0
2024-10-02,1,74.26424376794282,74.26424376794282,EXIT,50.0
2024-10-17,1,70.11488428040926,70.11488428040926,EXIT,50.0
2024-10-28,1,87.30913227169869,87.30913227169869,EXIT,50.0
2024-11-14,1,79.41898325109497,79.41898325109497,EXIT,50.0
2024-11-29,1,97.53076756347944,97.53076756347944,EXIT,50.0
2024-12-02,1,85.56779659891146,85.56779659891146,EXIT,50.0
2025-01-02,1,73.42217648553866,73.42217648553866,EXIT,50.0
2025-02-10,1,91.77078786345906,91.77078786345906,EXIT,50.0
2025-02-20,1,77.62465742356454,77.62465742356454,EXIT,50.0
2025-03-31,1,72.7275388108664,72.7275388108664,EXIT,50.0
2025-04-03,1,67.36527433913113,67.36527433913113,EXIT,50.0
2025-05-16,1,79.74582402638048,79.74582402638048,EXIT,50.0
2025-05-19,1,72.30922613334677,72.30922613334677,EXIT,50.0
2025-05-23,1,67.36052908243474,67.36052908243474,EXIT,50.0
2025-07-21,1,81.70118840599083,81.70118840599083,EXIT,50.0
2025-07-29,1,70.77514374569509,70.77514374569509,EXIT,50.0
2025-10-10,1,65.71154632105171,65.71154632105171,EXIT,50.0
2025-10-24,1,70.96348411846188,70.96348411846188,EXIT,50.0
2025-10-28,1,67.62662625939534,67.62662625939534,EXIT,50.0
2025-11-14,1,62.98235477774514,62.98235477774514,EXIT,50.0
2025-12-15,1,58.90683358328713,58.90683358328713,EXIT,50.0
2026-01-12,1,57.37086223493335,57.37086223493335,EXIT,50.0
,,100.0,100.0,START,75.0
2024-05-15,1,88.84369821453096,88.84369821453096,EXIT,75.0
2024-06-06,1,105.81461548600882,105.81461548600882,EXIT,75.0
2024-07-17,1,93.11733205236713,93.11733205236713,EXIT,75.0
2024-07-19,1,90.03455725029545,90.03455725029545,EXIT,75.0
2024-08-28,1,80.93463116134926,80.93463116134926,EXIT,75.0
2024-10-02,1,74.26424376794282,74.26424376794282,EXIT,75.0
2024-10-17,1,70.11488428040926,70.11488428040926,EXIT,75.0
2024-10-28,1,87.30913227169869,87.30913227169869,EXIT,75.0
2024-11-14,1,79.41898325109497,79.41898325109497,EXIT,75.0
2024-11-29,1,97.53076756347944,97.53076756347944,EXIT,75.0
2024-12-02,1,85.56779659891146,85.56779659891146,EXIT,75.0
2025-01-02,1,73.42217648553866,73.42217648553866,EXIT,75.0
2025-02-10,1,91.77078786345906,91.77078786345906,EXIT,75.0
2025-02-20,1,77.62465742356454,77.62465742356454,EXIT,75.0
2025-03-31,1,72.7275388108664,72.7275388108664,EXIT,75.0
2025-04-03,1,67.36527433913113,67.36527433913113,EXIT,75.0
2025-05-16,1,79.74582402638048,79.74582402638048,EXIT,75.0
2025-05-19,1,72.30922613334677,72.30922613334677,EXIT,75.0
2025-05-23,1,67.36052908243474,67.36052908243474,EXIT,75.0
2025-07-21,1,81.70118840599083,81.70118840599083,EXIT,75.0
2025-07-29,1,70.77514374569509,70.77514374569509,EXIT,75.0
2025-10-10,1,65.71154632105171,65.71154632105171,EXIT,75.0
2025-10-24,1,70.96348411846188,70.96348411846188,EXIT,75.0
2025-10-28,1,67.62662625939534,67.62662625939534,EXIT,75.0
2025-11-14,1,62.98235477774514,62.98235477774514,EXIT,75.0
2025-12-15,1,58.90683358328713,58.90683358328713,EXIT,75.0
2026-01-12,1,57.37086223493335,57.37086223493335,EXIT,75.0
,,100.0,100.0,START,100.0
2024-05-15,1,88.84369821453096,88.84369821453096,EXIT,100.0
2024-06-06,1,105.81461548600882,105.81461548600882,EXIT,100.0
2024-07-17,1,93.11733205236713,93.11733205236713,EXIT,100.0
2024-07-19,1,90.03455725029545,90.03455725029545,EXIT,100.0
2024-08-28,1,80.93463116134926,80.93463116134926,EXIT,100.0
2024-10-02,1,74.26424376794282,74.26424376794282,EXIT,100.0
2024-10-17,1,70.11488428040926,70.11488428040926,EXIT,100.0
2024-10-28,1,87.30913227169869,87.30913227169869,EXIT,100.0
2024-11-14,1,79.41898325109497,79.41898325109497,EXIT,100.0
2024-11-29,1,97.53076756347944,97.53076756347944,EXIT,100.0
2024-12-02,1,85.56779659891146,85.56779659891146,EXIT,100.0
2025-01-02,1,73.42217648553866,73.42217648553866,EXIT,100.0
2025-02-10,1,91.77078786345906,91.77078786345906,EXIT,100.0
2025-02-20,1,77.62465742356454,77.62465742356454,EXIT,100.0
2025-03-31,1,72.7275388108664,72.7275388108664,EXIT,100.0
2025-04-03,1,67.36527433913113,67.36527433913113,EXIT,100.0
2025-05-16,1,79.74582402638048,79.74582402638048,EXIT,100.0
2025-05-19,1,72.30922613334677,72.30922613334677,EXIT,100.0
2025-05-23,1,67.36052908243474,67.36052908243474,EXIT,100.0
2025-07-21,1,81.70118840599083,81.70118840599083,EXIT,100.0
2025-07-29,1,70.77514374569509,70.77514374569509,EXIT,100.0
2025-10-10,1,65.71154632105171,65.71154632105171,EXIT,100.0
2025-10-24,1,70.96348411846188,70.96348411846188,EXIT,100.0
2025-10-28,1,67.62662625939534,67.62662625939534,EXIT,100.0
2025-11-14,1,62.98235477774514,62.98235477774514,EXIT,100.0
2025-12-15,1,58.90683358328713,58.90683358328713,EXIT,100.0
2026-01-12,1,57.37086223493335,57.37086223493335,EXIT,100.0
,,100.0,100.0,START,20.0
2024-05-15,2,88.84369821453096,88.84369821453096,EXIT,20.0
2024-06-06,2,105.81461548600882,105.81461548600882,EXIT,20.0
2024-07-17,2,93.11733205236713,93.11733205236713,EXIT,20.0
2024-08-28,2,84.01740596342094,84.01740596342094,EXIT,20.0
2024-10-02,2,77.3470185700145,77.3470185700145,EXIT,20.0
2024-10-17,2,73.19765908248094,73.19765908248094,EXIT,20.0
2024-10-28,2,90.39190707377037,90.39190707377037,EXIT,20.0
2024-11-14,2,82.50175805316665,82.50175805316665,EXIT,20.0
2024-11-29,2,102.42472079678957,102.42472079678957,EXIT,20.0
2024-12-02,2,90.46174983222159,90.46174983222159,EXIT,20.0
2025-02-10,2,114.92656500278214,114.92656500278214,EXIT,20.0
2025-02-20,2,96.53659543091925,96.53659543091925,EXIT,20.0
2025-05-16,2,113.04399501391836,113.04399501391836,EXIT,20.0
2025-05-19,2,101.8890981743678,101.8890981743678,EXIT,20.0
2025-05-23,2,94.46605259799973,94.46605259799973,EXIT,20.0
2025-07-21,2,112.39187675244484,112.39187675244484,EXIT,20.0
2025-07-29,2,98.73432092707517,98.73432092707517,EXIT,20.0
2025-10-10,2,90.29499188600289,90.29499188600289,EXIT,20.0
2025-10-24,2,97.6477048023771,97.6477048023771,EXIT,20.0
2025-10-28,2,92.97610379968394,92.97610379968394,EXIT,20.0
2025-11-14,2,85.23565133026693,85.23565133026693,EXIT,20.0
2025-12-15,2,79.80162307098959,79.80162307098959,EXIT,20.0
2026-01-12,2,77.88165888554737,77.88165888554737,EXIT,20.0
,,100.0,100.0,START,30.0
2024-05-15,2,88.84369821453096,88.84369821453096,EXIT,30.0
2024-06-06,2,105.81461548600882,105.81461548600882,EXIT,30.0
2024-07-17,2,93.11733205236713,93.11733205236713,EXIT,30.0
2024-08-28,2,84.01740596342094,84.01740596342094,EXIT,30.0
