sample_id,replay_date,ticker,policy,baseline_exit_reason,close_based_exit_reason,baseline_pnl_dollars,close_based_pnl_dollars,intraday_low_breached_close_stop,breach_date,breach_low,breach_stop_price,same_day_close,same_day_recovered_above_stop,next_day_open_after_close_stop,close_confirmed_exit_pnl_dollars,hybrid_catastrophic_exit_pnl_dollars,realism_warning
0,2024-01-10,SMCI,close_based_stop_2_0x,STOP,TARGET_1,-5.096325648716501,13.337319054739822,True,2024-01-17,30.575000762939453,31.132429395403182,31.822999954223633,True,,13.337319054739822,13.337319054739822,POLICY_TOO_OPTIMISTIC_FOR_RESEARCH_GATE
0,2024-01-19,SMCI,close_based_stop_2_0x,STOP,,-8.282342733110681,,True,,,,,,,,,POLICY_TOO_OPTIMISTIC_FOR_RESEARCH_GATE
0,2024-01-29,SMCI,close_based_stop_2_0x,TARGET_1,TARGET_1,10.83312666484288,28.924825771876755,False,,,47.47342600141253,,False,,28.924825771876755,28.924825771876755,NO_WARNING
0,2024-02-06,PLTR,close_based_stop_2_0x,TARGET_1,,13.342456984383716,,True,,,,,,,,,INTRADAY_STOP_BREACH_IGNORED_BY_CLOSE_STOP
0,2024-02-14,HOOD,close_based_stop_2_0x,TARGET_1,TARGET_1,12.698516381399997,21.20886063439505,False,,,12.332856587001256,,False,,21.20886063439505,21.20886063439505,NO_WARNING
0,2024-03-05,HPE,close_based_stop_2_0x,TARGET_1,STOP,9.230617177145831,-8.449659718104755,True,2024-03-15,16.700000762939453,17.3121429170881,16.729999542236328,False,,-11.426798782348612,-12.60108957563125,CLOSE_STOP_REQUIRES_NEXT_OPEN_SLIPPAGE
0,2024-04-01,CCJ,close_based_stop_2_0x,TARGET_1,TIME_EXIT,10.287480526515424,9.341219547271749,False,,,42.79999814714704,,False,,9.341219547271749,9.341219547271749,NO_WARNING
0,2024-04-25,F,close_based_stop_2_0x,STOP,,-6.339645986557002,,True,,,,,,,,,POLICY_TOO_OPTIMISTIC_FOR_RESEARCH_GATE
0,2024-05-13,NVAX,close_based_stop_2_0x,STOP,TARGET_1,-15.937573979241492,50.410636750357526,False,,,11.292856420789446,,False,,50.410636750357526,46.20975035449436,NO_WARNING
0,2024-05-21,IREN,close_based_stop_2_0x,TARGET_1,,26.434378630501882,,True,,,,,,,,,INTRADAY_STOP_BREACH_IGNORED_BY_CLOSE_STOP
