sample_id,ticker,theme,subtheme,calendar_month,calendar_quarter,entry_gap_pct_bucket,volatility_20d_bucket,atr_pct_bucket,smoke_score_bucket,decision_strength_bucket,simulated_exit_reason,candidate_count,win_count,loss_count,total_pnl_dollars,average_pnl_dollars,median_pnl_dollars,average_20d_forward_return,median_20d_forward_return,max_single_candidate_loss_dollars,max_drawdown_contribution_dollars,simulated_win_rate
0,INTC,semiconductor / hardware,CPU / foundry,2025-12,2025Q4,"(-0.02, 0.0]","(0.03, 0.05]","(0.03, 0.05]","(0.94, inf]","(0.8, 1.0]",STOP,1,0,1,-11.822133191789902,-11.822133191789902,-11.822133191789902,-0.15113870509152816,-0.15113870509152816,-11.822133191789902,-11.822133191789902,0.0
0,IREN,crypto-adjacent / high beta,bitcoin mining / AI compute,2024-05,2024Q2,"(-0.02, 0.0]","(0.05, 0.07]","(0.07, 0.1]","(-inf, 0.88]","(0.5, 0.65]",TARGET_1,1,1,0,26.434378630501882,26.434378630501882,26.434378630501882,0.8783783026208323,0.8783783026208323,26.434378630501882,0.0,1.0
0,JOBY,EV / mobility,eVTOL,2025-07,2025Q3,"(0.0, 0.02]","(0.05, 0.07]","(0.05, 0.07]","(0.94, inf]","(0.8, 1.0]",TARGET_1,1,1,0,38.235670227323254,38.235670227323254,38.235670227323254,0.0894060623785935,0.0894060623785935,38.235670227323254,0.0,1.0
0,KTOS,space / defense / nuclear,defense systems,2025-03,2025Q1,"(0.0, 0.02]","(0.03, 0.05]","(0.03, 0.05]","(-inf, 0.88]","(0.5, 0.65]",STOP,1,0,1,-15.801786218643173,-15.801786218643173,-15.801786218643173,0.03602728431003599,0.03602728431003599,-15.801786218643173,-15.801786218643173,0.0
0,NVAX,biotech,vaccines,2024-05,2024Q2,"(0.02, 0.05]","(0.1, inf]","(0.07, 0.1]","(0.94, inf]","(0.8, 1.0]",STOP,1,0,1,-15.937573979241492,-15.937573979241492,-15.937573979241492,0.2761250938489024,0.2761250938489024,-15.937573979241492,-15.937573979241492,0.0
0,OKLO,space / defense / nuclear,advanced nuclear,2024-10,2024Q4,"(0.05, inf]","(0.1, inf]","(0.1, inf]","(0.94, inf]","(0.65, 0.8]",TARGET_1,1,1,0,40.11991197967532,40.11991197967532,40.11991197967532,-0.012616541306183393,-0.012616541306183393,40.11991197967532,0.0,1.0
0,PATH,AI / software,automation software,2025-10,2025Q4,"(0.0, 0.02]","(0.05, 0.07]","(0.05, 0.07]","(0.92, 0.94]","(0.65, 0.8]",STOP,1,0,1,-19.08302080590383,-19.08302080590383,-19.08302080590383,-0.1612902738639529,-0.1612902738639529,-19.08302080590383,-19.08302080590383,0.0
0,PLTR,AI / software,analytics / defense AI,2024-02,2024Q1,"(-0.02, 0.0]","(0.07, 0.1]","(0.05, 0.07]","(0.94, inf]","(0.8, 1.0]",TARGET_1,1,1,0,13.342456984383716,13.342456984383716,13.342456984383716,0.19615906920692594,0.19615906920692594,13.342456984383716,0.0,1.0
0,PLTR,AI / software,analytics / defense AI,2024-07,2024Q3,"(0.0, 0.02]","(-inf, 0.03]","(0.03, 0.05]","(-inf, 0.88]","(-inf, 0.5]",STOP,1,0,1,-6.84714676775252,-6.84714676775252,-6.84714676775252,-0.13032492819211305,-0.13032492819211305,-6.84714676775252,-6.84714676775252,0.0
0,PLTR,AI / software,analytics / defense AI,2024-08,2024Q3,"(0.0, 0.02]","(0.03, 0.05]","(0.05, 0.07]","(0.94, inf]","(0.5, 0.65]",TIME_EXIT,1,1,0,17.399116645812995,17.399116645812995,17.399116645812995,0.15294895735528224,0.15294895735528224,17.399116645812995,0.0,1.0
