sample_id,filter_name,replay_date,ticker,entry_date,entry_price,reference_price,sector_or_theme,reason_excluded,decision_strength,smoke_score,atr_pct,volatility_20d,entry_gap_pct,relative_volume_prev20,baseline_exit_reason,baseline_pnl_dollars,forward_return_20d,stopped_out_then_20d_positive,would_have_been_winner_baseline_simulation,would_have_been_winner_20d
0,high_atr_pct,2024-01-29,SMCI,2024-01-30,54.731998443603516,49.56700134277344,semiconductor / hardware,Exclude atr_pct above 0.0691,0.6567767901825028,0.9405405405405405,0.0732198059753038,,0.10420233140819413,1.8731532738046868,TARGET_1,10.83312666484288,0.7170899541100404,False,True,True
0,high_atr_pct,2024-05-13,NVAX,2024-05-14,13.399999618530273,13.109999656677246,,Exclude atr_pct above 0.0691,1.0,1.0,0.08036396845623132,0.24067685385671989,0.022120516357551745,10.10437115306501,STOP,-15.937573979241492,0.2761250938489024,True,False,True
0,high_atr_pct,2024-05-21,IREN,2024-05-22,7.28000020980835,7.400000095367432,crypto-adjacent / high beta,Exclude atr_pct above 0.0691,0.6002976959774133,0.862857142857143,0.07474903798334706,0.06704980718780656,-0.016216200542241155,2.814107835225291,TARGET_1,26.434378630501882,0.8783783026208323,False,True,True
0,high_atr_pct,2024-10-18,OKLO,2024-10-21,19.3700008392334,18.229999542236328,space / defense / nuclear,Exclude atr_pct above 0.0691,0.7431372549019607,0.9647058823529411,0.10515242534906903,0.11953744084189495,0.06253435686357811,4.642147675635599,TARGET_1,40.11991197967532,-0.012616541306183393,False,True,False
0,high_atr_pct,2025-06-09,RKLB,2025-06-10,29.56999969482422,29.639999389648438,space / defense / nuclear,Exclude atr_pct above 0.0691,0.6350255936770485,0.9,0.06918739077422764,0.04603907144757869,-0.002361663166857708,2.9152303430934348,STOP,-24.845130641392274,0.3205128271128712,True,False,True
0,high_volatility_20d,2024-02-06,PLTR,2024-02-07,21.600000381469727,21.8700008392334,AI / software,Exclude volatility_20d above 0.0697,0.9122807017543858,1.0,0.05116924428667251,0.07325912372860216,-0.012345699469718752,8.759267361940353,TARGET_1,13.342456984383716,0.19615906920692594,False,True,True
0,high_volatility_20d,2024-05-13,NVAX,2024-05-14,13.399999618530273,13.109999656677246,,Exclude volatility_20d above 0.0697,1.0,1.0,0.08036396845623132,0.24067685385671989,0.022120516357551745,10.10437115306501,STOP,-15.937573979241492,0.2761250938489024,True,False,True
0,high_volatility_20d,2024-10-18,OKLO,2024-10-21,19.3700008392334,18.229999542236328,space / defense / nuclear,Exclude volatility_20d above 0.0697,0.7431372549019607,0.9647058823529411,0.10515242534906903,0.11953744084189495,0.06253435686357811,4.642147675635599,TARGET_1,40.11991197967532,-0.012616541306183393,False,True,False
0,high_volatility_20d,2024-11-13,RKLB,2024-11-14,19.43000030517578,18.829999923706055,space / defense / nuclear,Exclude volatility_20d above 0.0697,0.81505376344086,0.9935483870967742,0.06914877899660844,0.07285348297668745,0.031864067121655015,8.612838900002812,STOP,-17.75283529635834,0.199150292893997,True,False,True
0,high_volatility_20d,2025-06-27,CORZ,2025-06-30,16.950000762939453,16.649999618530273,crypto-adjacent / high beta,Exclude volatility_20d above 0.0697,0.64,0.9199999999999999,0.058232508831204385,0.08048035390566759,0.018018087164116237,4.975255621057511,STOP,-20.598296257019,-0.17447446243410913,False,False,False
0,extreme_entry_gap_pct,2024-01-19,SMCI,2024-01-22,45.6349983215332,42.33599853515625,semiconductor / hardware,Exclude absolute entry_gap_pct above 0.0362,0.7894736842105265,1.0,0.06449257542739255,,0.07792422289596956,7.058157076632728,STOP,-8.282342733110681,0.8974868554408455,True,False,True
0,extreme_entry_gap_pct,2024-01-29,SMCI,2024-01-30,54.731998443603516,49.56700134277344,semiconductor / hardware,Exclude absolute entry_gap_pct above 0.0362,0.6567767901825028,0.9405405405405405,0.0732198059753038,,0.10420233140819413,1.8731532738046868,TARGET_1,10.83312666484288,0.7170899541100404,False,True,True
0,extreme_entry_gap_pct,2024-06-18,HPE,2024-06-20,22.65999984741211,21.84000015258789,semiconductor / hardware,Exclude absolute entry_gap_pct above 0.0362,0.5363202020076586,0.9257142857142858,0.03999542126541502,0.02942522733426385,0.037545773310219355,1.878310389497497,STOP,-7.997460057939776,-0.05357143169045753,False,False,False
0,extreme_entry_gap_pct,2024-10-18,OKLO,2024-10-21,19.3700008392334,18.229999542236328,space / defense / nuclear,Exclude absolute entry_gap_pct above 0.0362,0.7431372549019607,0.9647058823529411,0.10515242534906903,0.11953744084189495,0.06253435686357811,4.642147675635599,TARGET_1,40.11991197967532,-0.012616541306183393,False,True,False
0,extreme_entry_gap_pct,2025-01-17,HOOD,2025-01-21,49.93000030517578,48.150001525878906,crypto-adjacent / high beta,Exclude absolute entry_gap_pct above 0.0362,0.6841455257900972,0.9483870967741936,0.05116304519243016,0.04671549291815829,0.03696778240682286,1.7637613450141019,TARGET_2,44.193222672598665,0.25524396077588163,False,True,True
0,minimum_decision_strength,2024-04-01,CCJ,2024-04-02,46.2599983215332,46.75,space / defense / nuclear,Require decision_strength >= 0.5863,0.5521349092775162,0.8971428571428571,0.037005349458675514,0.033897916025780434,-0.01048131932549301,1.7634998977833591,TARGET_1,10.287480526515424,0.057112260298295414,False,True,True
0,minimum_decision_strength,2024-04-25,F,2024-04-26,12.760000228881836,13.039999961853027,EV / mobility,Require decision_strength >= 0.5863,0.55491220056375,0.9111111111111111,0.02881244656151042,0.022423238227483384,-0.021472372223182323,1.6775431384070865,STOP,-6.339645986557002,-0.07131904201659411,False,False,False
0,minimum_decision_strength,2024-06-18,HPE,2024-06-20,22.65999984741211,21.84000015258789,semiconductor / hardware,Require decision_strength >= 0.5863,0.5363202020076586,0.9257142857142858,0.03999542126541502,0.02942522733426385,0.037545773310219355,1.878310389497497,STOP,-7.997460057939776,-0.05357143169045753,False,False,False
0,minimum_decision_strength,2024-07-08,PLTR,2024-07-09,27.93000030517578,27.700000762939453,AI / software,Require decision_strength >= 0.5863,0.4690900796370112,0.8777777777777779,0.040526032376765074,0.029736854993180076,0.008303232343013223,1.505144050066431,STOP,-6.84714676775252,-0.13032492819211305,False,False,False
