replay_date,decision,ticker,reason,reference_price,shares_with_cash,estimated_total_cost,estimated_cash_remaining,smoke_score,decision_strength,relative_volume_prev20,return_5d_signal,return_20d_signal,distance_to_52w_high_prev,dollar_volume,all_rule_checks_passed,failed_checks,data_complete_1d,return_1d,data_complete_3d,return_3d,data_complete_5d,return_5d,data_complete_10d,return_10d,data_complete_20d,return_20d,data_complete_mfe_mae_20d,max_favorable_move_20d,max_adverse_move_20d
2026-06-02,EXECUTABLE_NEAR_MISS,CORZ,Closest executable near-miss after Candidate 34 checks failed.,29.049999237060547,3,87.2371477088928,12.762852291107194,0.8320000000000001,0.4831318525251033,1.2521866727259288,0.10163057688795507,0.37677719013562694,-0.001375074435115975,597936134.2964172,False,"smoke_score_below_min, relative_volume_prev20_below_min",True,-0.004130772290406037,True,-0.11015486883415893,True,-0.0702237198538781,True,-0.033390682920122594,True,-0.18382100835911153,True,0.04750434094176148,-0.22065404529286703
2026-06-02,EXECUTABLE_NEAR_MISS,RIVN,Closest executable near-miss after Candidate 34 checks failed.,17.290000915527344,5,86.53645458221435,13.463545417785653,0.792,0.4001739455259463,1.2255655097335165,0.20152887442773748,0.19159204981347822,-0.23799028168487224,678635993.9346313,False,"smoke_score_below_min, relative_volume_prev20_below_min",True,0.056680132466403466,True,-0.05436671395508408,True,-0.09022563855910792,True,-0.07865821505713222,True,-0.006362093957599235,True,0.07287439299101806,-0.17004050771433676
2026-06-02,EXECUTABLE_NEAR_MISS,F,Closest executable near-miss after Candidate 34 checks failed.,16.149999618530273,6,96.9968977088928,3.003102291107197,0.744,0.34372324544159555,0.8615092089743602,0.05417754179110501,0.404347792915676,-0.09167609702847324,1176487097.210884,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",True,-0.02724455670441328,True,-0.07739938263315926,True,-0.07430339551762433,True,-0.10773992645310737,True,-0.1554179154485913,True,0.0030960461665776595,-0.16099068044634557
2026-06-02,EXECUTABLE_NEAR_MISS,PATH,Closest executable near-miss after Candidate 34 checks failed.,12.180000305175781,8,97.53744244384765,2.4625575561523476,0.704,0.39729925129626675,1.4636932616664011,0.09828675722186841,0.12465377571376313,-0.3860886990171194,738316296.4988708,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, distance_to_52w_high_prev_below_min",True,-0.04187193892475649,True,-0.07717573977877257,True,-0.1174056050366531,True,-0.1362889824154362,True,-0.05172414603086706,True,0.004926064403864228,-0.18965520211317932
2026-06-02,EXECUTABLE_NEAR_MISS,BBAI,Closest executable near-miss after Candidate 34 checks failed.,5.110000133514404,19,97.18709253931044,2.8129074606895585,0.6719999999999999,0.3347304841516812,0.9965743573651317,0.22248812042306176,0.22541967386625972,-0.4558040525367888,255112157.66558647,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, distance_to_52w_high_prev_below_min",True,-0.054794560174654894,True,-0.17808225058174598,True,-0.21917810072685473,True,-0.2250489364618703,True,-0.2876712309592909,True,-0.02152644435231188,-0.3483366268689613
2026-06-04,EXECUTABLE_NEAR_MISS,RIVN,Closest executable near-miss after Candidate 34 checks failed.,18.1200008392334,5,90.69060420036315,9.309395799636846,0.8800000000000001,0.572704941389447,1.074344472505022,0.1921053333295688,0.2513813129882807,-0.20141029472276406,637135469.5091248,False,relative_volume_prev20_below_min,True,-0.09768213994401531,True,-0.13189852021542092,True,-0.14238414778624942,True,-0.0883002377133123,False,,False,0.07284766190331271,-0.2080574107701404
2026-06-04,EXECUTABLE_NEAR_MISS,SMCI,Closest executable near-miss after Candidate 34 checks failed.,46.900001525878906,2,93.89380305480957,6.106196945190433,0.784,0.3372665636090579,0.6833990724815205,0.13559327826314327,0.3531448855266137,-0.21043770503194514,1535431009.954834,False,"smoke_score_below_min, relative_volume_prev20_below_min",True,-0.11215356002340549,True,-0.13347552095017035,True,-0.3183369238119578,True,-0.346268681238864,False,,False,-0.03496808424282816,-0.4140725234929221
2026-06-04,EXECUTABLE_NEAR_MISS,PATH,Closest executable near-miss after Candidate 34 checks failed.,11.670000076293945,8,93.45336061096191,6.546639389038091,0.712,0.34894546909898433,1.0045092218908591,0.007772033953441282,0.11142857869466138,-0.4117943555170924,505615590.3055191,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, distance_to_52w_high_prev_below_min",True,-0.03684664116234837,True,-0.07883462470259994,True,-0.08740363762599002,True,-0.11996569060647966,False,,False,0.023136204140891348,-0.15424166057987643
2026-06-04,EXECUTABLE_NEAR_MISS,SDGR,Closest executable near-miss after Candidate 34 checks failed.,15.850000381469727,6,95.19510229110716,4.804897708892838,0.6880000000000001,0.42031714229142353,1.718854280622811,0.1193503214879259,0.22110947152922056,-0.3114682855653814,39596470.95298767,False,"smoke_score_below_min, rank_gap_below_min",True,-0.09274449411038432,True,-0.08391166509124892,True,-0.07886435141423576,True,-0.00567824292882102,False,,False,0.12429017450735347,-0.12302843634118799
2026-06-04,EXECUTABLE_NEAR_MISS,RXRX,Closest executable near-miss after Candidate 34 checks failed.,3.799999952316284,26,98.8987987589836,1.1012012410163976,0.6719999999999999,0.4548227124335609,2.077404411902049,0.10465113055454633,0.10787168465244035,-0.4707520831242743,147919938.14384937,False,"smoke_score_below_min, rank_gap_below_min, distance_to_52w_high_prev_below_min",True,-0.12763155294257156,True,-0.15263156078528806,True,-0.17105259608033574,True,-0.14999998431456696,False,,False,0.0631578980390386,-0.22368418823648994
2026-06-05,EXECUTABLE_NEAR_MISS,HPE,Closest executable near-miss after Candidate 34 checks failed.,49.20000076293945,2,98.49840152740478,1.5015984725952194,0.8642857142857142,0.5110042716394502,1.0418955876121963,0.1431226699902275,0.6565656396996691,-0.2342412332616427,1856483308.7882996,False,relative_volume_prev20_below_min,True,0.013617848751132478,True,-0.07540648428744057,True,-0.0209350117484145,True,-0.016260146842582146,False,,False,0.033861795536106465,-0.1376016331866251
2026-06-05,EXECUTABLE_NEAR_MISS,RIVN,Closest executable near-miss after Candidate 34 checks failed.,16.350000381469727,6,98.19810229110718,1.8018977088928239,0.8,0.38678512497234957,1.0810661247511464,0.003067555015309198,0.1530324421433109,-0.279418246071505,587707303.7120819,False,"smoke_score_below_min, relative_volume_prev20_below_min",True,0.02996940426212502,True,-0.09724771348567784,True,0.025076442681725153,True,-0.07645259760462686,False,,False,0.18899083061123,-0.12232415616740289
2026-06-05,EXECUTABLE_NEAR_MISS,SMCI,Closest executable near-miss after Candidate 34 checks failed.,41.63999938964844,2,83.36327877807616,16.636721221923835,0.7785714285714287,0.38628668603203886,1.1408658885740635,-0.09655024404875368,0.2385485042403619,-0.29898992727286267,2051169713.9343262,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, return_5d_not_positive",True,0.056436174910285075,True,-0.29707010358314045,True,-0.2684918460386695,True,-0.14841499509512746,False,,False,0.07949090830471706,-0.34005763820765655
