candidate_id,variant,remaining_trade_count,avg_realized_return,avg_realized_excess_return,median_realized_return,realized_win_rate,worst_realized_return,best_realized_return,stop_hit_rate,target_1_hit_rate,target_2_hit_rate,time_exit_rate,avg_holding_days,avg_realized_excess_excluding_best_trade,valid_windows,windows_positive_realized_excess,windows_win_rate_ge_52pct
1,base,39,-0.01828082359956245,-0.017819010074215293,-0.0827199733970927,0.2564102564102564,-0.18917412554063606,0.29689136545041594,0.7435897435897436,0.2564102564102564,0.0,0.0,4.153846153846154,-0.026236980234739183,8,3,1
1,excluding_mstr,39,-0.01828082359956245,-0.017819010074215293,-0.0827199733970927,0.2564102564102564,-0.18917412554063606,0.29689136545041594,0.7435897435897436,0.2564102564102564,0.0,0.0,4.153846153846154,-0.026236980234739183,8,3,1
1,excluding_most_selected_ticker,32,-0.017775650974236376,-0.01656198882299482,-0.07410907543166534,0.25,-0.18917412554063606,0.29689136545041594,0.75,0.25,0.0,0.0,4.5625,-0.026840241882629897,8,3,1
1,excluding_top3_selected_tickers,23,-0.001259641287892794,0.000751841680887778,-0.07384887566787413,0.30434782608695654,-0.18917412554063606,0.29689136545041594,0.6956521739130435,0.30434782608695654,0.0,0.0,5.217391304347826,-0.012944158971148801,7,3,1
1,per_ticker_cap_10_full_period,39,-0.01828082359956245,-0.017819010074215293,-0.0827199733970927,0.2564102564102564,-0.18917412554063606,0.29689136545041594,0.7435897435897436,0.2564102564102564,0.0,0.0,4.153846153846154,-0.026236980234739183,8,3,1
1,per_ticker_cap_5_per_year,39,-0.01828082359956245,-0.017819010074215293,-0.0827199733970927,0.2564102564102564,-0.18917412554063606,0.29689136545041594,0.7435897435897436,0.2564102564102564,0.0,0.0,4.153846153846154,-0.026236980234739183,8,3,1
1,equal_ticker_weighted,39,0.013855413771305804,0.012764177569082867,-0.002912055673522314,0.3477891156462585,-0.18917412554063606,0.29689136545041594,0.6522108843537415,0.3477891156462585,0.0,0.0,4.795408163265306,-0.026236980234739183,8,3,1
2,base,33,-0.0021177529973230016,-0.004356387421418858,-0.07384887566787413,0.30303030303030304,-0.1660145217699841,0.29689136545041594,0.696969696969697,0.30303030303030304,0.0,0.0,4.363636363636363,-0.013932020029141089,8,3,1
2,excluding_mstr,33,-0.0021177529973230016,-0.004356387421418858,-0.07384887566787413,0.30303030303030304,-0.1660145217699841,0.29689136545041594,0.696969696969697,0.30303030303030304,0.0,0.0,4.363636363636363,-0.013932020029141089,8,3,1
2,excluding_most_selected_ticker,27,-0.002971424059630854,-0.004136610068284696,-0.07303796113176464,0.2962962962962963,-0.1660145217699841,0.29689136545041594,0.7037037037037037,0.2962962962962963,0.0,0.0,4.888888888888889,-0.015913551071899203,8,3,1
2,excluding_top3_selected_tickers,18,0.04123087416586478,0.03689916545183406,-0.03655967008561839,0.4444444444444444,-0.1660145217699841,0.29689136545041594,0.5555555555555556,0.4444444444444444,0.0,0.0,5.388888888888889,0.02130124247690121,8,3,2
2,per_ticker_cap_10_full_period,33,-0.0021177529973230016,-0.004356387421418858,-0.07384887566787413,0.30303030303030304,-0.1660145217699841,0.29689136545041594,0.696969696969697,0.30303030303030304,0.0,0.0,4.363636363636363,-0.013932020029141089,8,3,1
2,per_ticker_cap_5_per_year,33,-0.0021177529973230016,-0.004356387421418858,-0.07384887566787413,0.30303030303030304,-0.1660145217699841,0.29689136545041594,0.696969696969697,0.30303030303030304,0.0,0.0,4.363636363636363,-0.013932020029141089,8,3,1
2,equal_ticker_weighted,33,0.03184764700854186,0.02927854672394092,0.02270915310712664,0.3974358974358974,-0.1660145217699841,0.29689136545041594,0.6025641025641025,0.3974358974358974,0.0,0.0,4.796153846153846,-0.013932020029141089,8,3,1
