sample_id,filter_name,filter_description,replay_rounds,original_buy_count,filtered_buy_count,excluded_decision_count,excluded_loser_count,excluded_winner_count,excluded_stopped_out_then_20d_positive_count,no_trade_count_after_filter,trade_simulation_accuracy,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_return_20d,median_return_20d,average_win,average_loss,profit_factor,ending_account_value,max_drawdown,worst_trade_account_loss,ending_value_excluding_best_decision,top_ticker_profit_share,top_ticker_loss_share,passes_phase1d_diagnostic_gate
0,high_atr_pct,Exclude atr_pct above 0.0691,100,34,29,5,2,3,2,71,0.3793103448275862,0.5172413793103449,0.5172413793103449,0.4482758620689655,0.4482758620689655,0.5517241379310345,0.0844578706285663,0.03183082952469274,17.892221749875464,-9.552058378492061,1.1446889330610335,124.877388435773,-0.46031094214060775,-0.09718440290493656,95.41523998737388,0.2061502724953475,0.14030202762811134,False
0,high_volatility_20d,Exclude volatility_20d above 0.0697,100,34,29,5,3,2,2,71,0.41379310344827586,0.5172413793103449,0.4827586206896552,0.4482758620689655,0.4827586206896552,0.5862068965517241,0.14291118732432248,0.03602728431003599,23.49335492831186,-12.346202726179795,1.343210137001395,172.0348127946858,-0.45673126850526213,-0.10363022268264165,127.84159012208713,0.1961704514428328,0.14500967466731376,False
0,extreme_entry_gap_pct,Exclude absolute entry_gap_pct above 0.0362,100,34,29,5,2,3,1,71,0.3793103448275862,0.5172413793103449,0.5172413793103449,0.4827586206896552,0.4827586206896552,0.5862068965517241,0.09741845128568136,0.03602728431003599,18.41936886444341,-9.94952505348598,1.131338522412343,123.52160654612987,-0.4446983819096858,-0.11831953464267453,96.6970822237563,0.16437371699710474,0.1811454907127244,False
0,minimum_decision_strength,Require decision_strength >= 0.5863,100,34,26,8,6,2,0,74,0.46153846153846156,0.6923076923076923,0.6153846153846154,0.5,0.5384615384615384,0.6923076923076923,0.18779894782206102,0.0791322695644393,26.257941984574007,-15.1954021962224,1.4811590456581911,202.35967306777457,-0.3558783743999967,-0.10807084749526136,158.1664503951759,0.18055406845232244,0.2002389810684245,False
0,minimum_smoke_score,Require smoke_score >= 0.8839,100,34,25,9,7,2,2,75,0.48,0.64,0.6,0.52,0.56,0.64,0.16239957066366403,0.0894060623785935,20.9889205085096,-11.96082962868238,1.6198197585927387,196.37626092924427,-0.2519221429213713,-0.11661023735290654,160.2657946326395,0.18001991199502856,0.22132595178544395,False
0,low_relative_volume_prev20,Require relative_volume_prev20 >= 1.8162,100,34,26,8,5,3,1,74,0.4230769230769231,0.6153846153846154,0.5769230769230769,0.5,0.5,0.6153846153846154,0.13445683540318723,0.0373048454897108,21.785208460807816,-12.786205347706,1.2494574507042455,147.84421285329597,-0.3961121529789504,-0.11436194940687748,107.72430087362065,0.1674193171934323,0.18971843632993,False
0,weak_distance_from_high,Require distance_from_52w_high_pct >= -0.1624,100,34,30,4,3,1,1,70,0.43333333333333335,0.6,0.6,0.5333333333333333,0.5333333333333333,0.6,0.12782774504282507,0.0373048454897108,23.015251684639495,-11.943017566520611,1.473655903882647,196.16697326946309,-0.30381078215816804,-0.11661023735290654,151.97375059686442,0.19014728491798832,0.17508261207503012,False
0,extreme_short_term_runup,Exclude return_5d_prior above 0.3309,100,34,27,7,4,3,2,73,0.4074074074074074,0.5185185185185185,0.48148148148148145,0.4444444444444444,0.48148148148148145,0.5925925925925926,0.12913672171240298,0.03602728431003599,20.031752652168286,-10.712963197205733,1.2855294744182273,148.94186801855943,-0.4529979928145701,-0.09711964494898391,104.74864534596077,0.25818890475748835,0.1410185569269742,False
0,theme_concentration_cap,"Within each sample, allow at most 3 entries per deterministic local theme.",100,34,17,17,13,4,3,83,0.5882352941176471,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.2869330024305948,0.19615906920692594,25.697921686247422,-11.971753445936688,3.0664945498939673,273.1769427409174,-0.15029670671394657,-0.11204391238144619,228.98372006831875,0.22138653759087848,0.30687105846036516,True
0,repeated_loser_ticker_cooldown,"Within each sample, skip a ticker after its prior baseline losing BUY.",100,34,23,11,7,4,3,77,0.43478260869565216,0.6521739130434783,0.5652173913043478,0.4782608695652174,0.5652173913043478,0.5652173913043478,0.11439481783863222,0.03602728431003599,24.927448672866834,-13.907090156743793,1.3787902646400545,168.48231469099903,-0.34623211451648606,-0.11831953464267453,124.28909201840037,0.22822928973041873,0.11736803590363615,False
0,atr_plus_decision_strength,Combination: high_atr_pct plus minimum_decision_strength.,100,34,21,13,8,5,2,79,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.12872776223748209,0.038582406669385616,19.52085760326992,-10.794094622634686,1.3563567593479986,146.15858295781305,-0.3318444843601197,-0.09837632480885813,116.69643450941393,0.23094016272071816,0.16904228368541813,False
