sample_id,market_regime_label,spy_trend_label,qqq_trend_label,market_volatility_label,candidate_count,win_count,loss_count,total_pnl_dollars,average_pnl_dollars,average_forward_return_20d,worst_trade_pnl_dollars,simulated_win_rate
3,RISK_OFF,SPY_BELOW_20_50,UNKNOWN_QQQ_DATA,MEDIUM_VOL,3,1,2,3.278227396011374,1.0927424653371247,0.0215635139595269,-4.043743558611183,0.3333333333333333
3,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,23,9,14,7.279213729245463,0.31648755344545487,0.0022668384185820004,-18.81174329158236,0.391304347826087
3,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,MEDIUM_VOL,4,0,4,-20.964355267524702,-5.241088816881176,-0.025029206557016515,-7.569344681876046,0.0
3,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,LOW_VOL,1,1,0,5.188223329816537,5.188223329816537,0.25982436695731326,5.188223329816537,1.0
3,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,VOL_UNKNOWN,1,0,1,-4.776099213736387,-4.776099213736387,-0.14501631141518567,-4.776099213736387,0.0
4,MIXED,SPY_ABOVE_20_BELOW_50,UNKNOWN_QQQ_DATA,MEDIUM_VOL,1,1,0,14.246214494977707,14.246214494977707,0.40035112629435754,14.246214494977707,1.0
4,MIXED,SPY_BELOW_20_ABOVE_50,UNKNOWN_QQQ_DATA,LOW_VOL,1,0,1,-7.139678483145573,-7.139678483145573,-0.5140638137044042,-7.139678483145573,0.0
4,RISK_OFF,SPY_BELOW_20_50,UNKNOWN_QQQ_DATA,HIGH_VOL,1,0,1,-5.919937664576935,-5.919937664576935,-0.10474757312532934,-5.919937664576935,0.0
4,RISK_OFF,SPY_BELOW_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,3,0,3,-4.200873875481733,-1.4002912918272443,0.00984637193431622,-2.2228382377624456,0.0
4,RISK_OFF,SPY_BELOW_20_50,UNKNOWN_QQQ_DATA,MEDIUM_VOL,2,0,2,-9.547329730170091,-4.7736648650850455,-0.051505596116790564,-5.876542335237772,0.0
4,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,18,6,11,-21.85636806174672,-1.285668709514513,-0.03383530391177415,-25.606286644118143,0.3333333333333333
4,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,MEDIUM_VOL,3,1,2,-0.7155935339927808,-0.2385311779975936,0.06751631864328374,-8.479629467827934,0.3333333333333333
4,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,LOW_VOL,2,0,2,-16.632633732455105,-8.316316866227552,-0.07714456731365799,-13.537699537072854,0.0
4,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,VOL_UNKNOWN,1,0,1,-5.072272909981862,-5.072272909981862,-0.11832216998329881,-5.072272909981862,0.0
5,MIXED,SPY_BELOW_20_ABOVE_50,UNKNOWN_QQQ_DATA,LOW_VOL,1,1,0,7.120161224365248,7.120161224365248,0.07059997558593745,7.120161224365248,1.0
5,RISK_OFF,SPY_BELOW_20_50,UNKNOWN_QQQ_DATA,HIGH_VOL,1,0,1,-6.742319389343251,-6.742319389343251,-0.0654424411797736,-6.742319389343251,0.0
5,RISK_OFF,SPY_BELOW_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,2,2,0,25.076195422376927,12.538097711188463,0.05595558592351407,9.71287801688058,1.0
5,RISK_OFF,SPY_BELOW_20_50,UNKNOWN_QQQ_DATA,MEDIUM_VOL,1,1,0,3.0621577091217063,3.0621577091217063,0.0358606288400618,3.0621577091217063,1.0
5,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,LOW_VOL,19,7,12,29.941686920983614,1.5758782589991376,-0.01276540515291106,-20.982790684563767,0.3684210526315789
5,RISK_ON,SPY_ABOVE_20_50,UNKNOWN_QQQ_DATA,MEDIUM_VOL,1,0,1,-8.357827068328845,-8.357827068328845,0.10798111187673687,-8.357827068328845,0.0
5,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,LOW_VOL,2,0,2,-23.81542181600841,-11.907710908004205,-0.43021940681750115,-13.331545496668127,0.0
5,UNKNOWN_MARKET_DATA,SPY_TREND_UNKNOWN,UNKNOWN_QQQ_DATA,VOL_UNKNOWN,1,0,1,-4.848829164777484,-4.848829164777484,0.9887702099154381,-4.848829164777484,0.0
6,MIXED,SPY_BELOW_20_ABOVE_50,UNKNOWN_QQQ_DATA,LOW_VOL,2,0,2,-27.009710463115113,-13.504855231557556,-0.11872604216424254,-19.08302080590383,0.0
